交易日期,到期日期,履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價,到期天數,無風險利率,隱含波動率(結算價),隱含波動率(收盤價)
2012/01/02,2012/06/20,5200.0,put,179,77.0,77.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.3434767133024172,0.3435953175974549
2012/01/02,2012/06/20,5400.0,put,144,105.0,105.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.3400551202644645,0.34018266382415147
2012/01/02,2012/06/20,7400.0,call,67,264.0,264.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.24375708419395944,0.24354975155365607
2012/01/02,2012/06/20,7600.0,call,83,205.0,200.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.23871965760578603,0.2415743629107798
2012/01/02,2012/06/20,7800.0,call,199,143.0,143.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.230534617615139,0.2303701161298412
2012/01/02,2012/06/20,8000.0,call,108,105.0,105.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.22795448424473244,0.22780539947157263
2012/01/02,2012/06/20,8200.0,call,234,77.0,79.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.22859635833119982,0.22663641830439205
2012/01/02,2012/06/20,8400.0,call,87,52.0,52.0,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.22158988951621494,0.22146558062898747
2012/01/02,2012/06/20,9000.0,call,64,18.0,18.5,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.22088334374183355,0.21966411089651192
2012/01/02,2012/06/20,9200.0,call,104,12.0,12.5,136,6972,6972,6884,6901,6900,170,0.0093999999999999,0.2197124061386413,0.21813710815081028
2012/01/03,2012/06/20,5200.0,put,156,67.0,67.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.3427449933500963,0.3427449933500963
2012/01/03,2012/06/20,5600.0,put,100,105.0,104.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.31652065915368754,0.3175355329208982
2012/01/03,2012/06/20,5800.0,put,50,129.0,133.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.30734614947177585,0.30383109674723957
2012/01/03,2012/06/20,6000.0,put,71,165.0,165.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.2956094900302546,0.2956094900302546
2012/01/03,2012/06/20,6600.0,put,72,310.0,320.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.26912038589788595,0.2633586468974555
2012/01/03,2012/06/20,7600.0,call,43,226.0,221.0,81,6972,7031,6955,7000,7000,169,0.0093999999999999,0.23311234907031514,0.2360179087330469
