交易日期,到期月份(週別)
2012/01/18,201201
2012/02/15,201202
2012/03/21,201203
2012/04/18,201204
2012/05/16,201205
2012/06/20,201206
2012/07/18,201207
2012/08/15,201208
2012/09/19,201209
2012/10/17,201210
2012/11/21,201211
2012/12/19,201212
2013/01/16,201301
2013/02/20,201302
2013/03/20,201303
2013/04/17,201304
2013/05/15,201305
2013/06/19,201306
2013/07/17,201307
2013/08/22,201308
2013/09/18,201309
2013/10/16,201310
2013/11/20,201311
2013/12/18,201312
2014/01/15,201401
2014/02/19,201402
2014/03/19,201403
2014/04/16,201404
2014/05/21,201405
2014/06/18,201406
2014/07/16,201407
2014/08/20,201408
2014/09/17,201409
2014/10/15,201410
2014/11/19,201411
2014/12/17,201412
2015/01/21,201501
2015/02/24,201502
2015/03/18,201503
2015/04/15,201504
2015/05/20,201505
2015/06/17,201506
2015/07/15,201507
2015/08/19,201508
2015/09/16,201509
2015/10/21,201510
2015/11/18,201511
2015/12/16,201512
2016/01/20,201601
2016/02/17,201602
2016/03/16,201603
2016/04/20,201604
2016/05/18,201605
2016/06/15,201606
2016/07/20,201607
2016/08/17,201608
2016/09/21,201609
2016/10/19,201610
2016/11/16,201611
2016/12/21,201612
2017/01/18,201701
2017/02/15,201702
2017/03/15,201703
2017/04/19,201704
2017/05/17,201705
2017/06/21,201706
2017/07/19,201707
2017/08/16,201708
2017/09/20,201709
2017/10/18,201710
2017/11/15,201711
2017/12/20,201712
2018/01/17,201801
2018/02/21,201802
2018/03/21,201803
2018/04/18,201804
2018/05/16,201805
2018/06/20,201806
2018/07/18,201807
2018/08/15,201808
2018/09/19,201809
2018/10/17,201810
2018/11/21,201811
2018/12/19,201812
2019/01/16,201901
2019/02/20,201902
2019/03/20,201903
2019/04/17,201904
2019/05/15,201905
2019/06/19,201906
2019/07/17,201907
2019/08/21,201908
2019/09/18,201909
2019/10/16,201910
2019/11/20,201911
2019/12/18,201912
2020/01/15,202001
2020/02/19,202002
2020/03/18,202003
2020/04/15,202004
2020/05/20,202005
2020/06/17,202006
2020/07/15,202007
2020/08/19,202008
2020/09/16,202009
2020/10/21,202010
2020/11/18,202011
2020/12/16,202012
2021/01/20,202101
2021/02/17,202102
2021/03/17,202103
2021/04/21,202104
2021/05/19,202105
2021/06/16,202106
2021/07/21,202107
2021/08/18,202108
2021/09/15,202109
2021/10/20,202110
2021/11/17,202111
2021/12/15,202112
2022/01/19,202201
2022/02/16,202202
2022/03/16,202203
2022/04/20,202204
2022/05/18,202205
2022/06/15,202206
2022/07/20,202207
2022/08/17,202208
2022/09/21,202209
2022/10/19,202210
2022/11/16,202211
2022/12/21,202212
2023/01/30,202301
2023/02/15,202302
2023/03/15,202303
2023/04/19,202304
2023/05/17,202305
2023/06/21,202306
2023/07/19,202307
2023/08/16,202308
2023/09/20,202309
2023/10/18,202310
2023/11/15,202311
2023/12/20,202312
2024/01/17,202401
2024/02/21,202402
2024/03/20,202403
2024/04/17,202404
2024/05/15,202405
2024/06/19,202406
2024/07/17,202407
2024/08/21,202408
2024/09/18,202409
2024/10/16,202410
2024/11/20,202411
2024/12/18,202412
