交易日期,到期月份(週別),履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價
2018/01/02,201801,8800.0,put,126,0.5,0.4,108602,10629,10710,10621,10709,10708
2018/01/02,201801,8900.0,put,110,0.4,0.4,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9000.0,put,129,0.5,0.5,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9100.0,put,52,0.6,0.6,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9200.0,put,99,0.6,0.6,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9300.0,put,331,0.7,0.7,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9400.0,put,256,0.9,0.9,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9500.0,put,666,1.1,1.1,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9600.0,call,3,1110,1110,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9600.0,put,1070,1.4,1.4,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9700.0,call,9,985,1010,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9700.0,put,1265,1.9,1.9,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9800.0,put,2144,2.3,2.3,108602,10629,10710,10621,10709,10708
2018/01/02,201801,9900.0,put,2879,2.8,2.8,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10000.0,call,5,710,710,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10000.0,put,4382,3.4,3.4,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10100.0,call,9,615,610,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10100.0,put,4225,4.5,4.5,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10200.0,call,145,515,510,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10200.0,put,6608,6.4,6.4,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10300.0,call,394,414,414,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10300.0,put,12216,8.8,8.8,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10400.0,call,1243,324,324,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10400.0,put,17738,13.5,13.5,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10500.0,call,3573,232,232,108602,10629,10710,10621,10709,10708
2018/01/02,201801,10500.0,put,17210,22.5,22.5,108602,10629,10710,10621,10709,10708
