"Date","Week day","ON","1W","1M","2M","3M","6M","12M"
"16.04.2014","Wed","0.09070","0.12150","0.15200","0.19300","0.22785","0.32090","0.54650"
"15.04.2014","Tue","0.08800","0.12065","0.15140","0.19200","0.22635","0.32090","0.54550"
"14.04.2014","Mon","0.08700","0.12040","0.15170","0.19230","0.22865","0.32270","0.54650"
"11.04.2014","Fri","0.08700","0.11875","0.15220","0.19185","0.22645","0.32200","0.54600"
"10.04.2014","Thu","0.08850","0.12045","0.15250","0.19190","0.22705","0.32400","0.54850"
"09.04.2014","Wed","0.08860","0.11925","0.15090","0.19030","0.22755","0.32650","0.55300"
"08.04.2014","Tue","0.08850","0.11850","0.15040","0.19030","0.22730","0.32650","0.55300"
"07.04.2014","Mon","0.08650","0.11820","0.15200","0.19250","0.22935","0.32650","0.55210"
"04.04.2014","Fri","0.08840","0.12135","0.15250","0.19125","0.22960","0.32750","0.55560"
"03.04.2014","Thu","0.08810","0.12060","0.15250","0.19275","0.23035","0.32800","0.55510"
"02.04.2014","Wed","0.08740","0.12100","0.15200","0.19150","0.23010","0.32800","0.55510"
"01.04.2014","Tue","0.08840","0.11885","0.15100","0.19075","0.22810","0.32790","0.55360"
"31.03.2014","Mon","0.08550","0.11950","0.15200","0.19325","0.23060","0.32890","0.55810"
"28.03.2014","Fri","0.08990","0.12010","0.15175","0.19640","0.23335","0.32890","0.55860"
"27.03.2014","Thu","0.09080","0.12275","0.15250","0.19675","0.23360","0.32900","0.56160"
"26.03.2014","Wed","0.09030","0.12275","0.15300","0.19360","0.23335","0.32950","0.56210"
"25.03.2014","Tue","0.09040","0.11875","0.15375","0.19300","0.23435","0.32950","0.56160"
"24.03.2014","Mon","0.09030","0.11950","0.15425","0.19400","0.23510","0.33250","0.56410"
"21.03.2014","Fri","0.09050","0.11975","0.15425","0.19675","0.23285","0.33150","0.56410"
"20.03.2014","Thu","0.08850","0.12000","0.15450","0.19675","0.23360","0.33000","0.56000"
"19.03.2014","Wed","0.08900","0.12300","0.15755","0.20000","0.23385","0.32970","0.55550"
"18.03.2014","Tue","0.08850","0.12130","0.15675","0.20070","0.23485","0.33400","0.55720"
"17.03.2014","Mon","0.08860","0.11975","0.15620","0.20020","0.23445","0.33390","0.55710"
"14.03.2014","Fri","0.08780","0.12125","0.15645","0.20075","0.23485","0.33280","0.55700"
"13.03.2014","Thu","0.08790","0.12340","0.15500","0.19855","0.23335","0.33180","0.55700"
"12.03.2014","Wed","0.08890","0.12075","0.15550","0.19925","0.23410","0.33050","0.55520"
"11.03.2014","Tue","0.08850","0.12400","0.15580","0.19855","0.23330","0.33100","0.55520"
"10.03.2014","Mon","0.09010","0.12040","0.15500","0.19925","0.23435","0.33200","0.55520"
"07.03.2014","Fri","0.08770","0.12000","0.15650","0.19695","0.23565","0.33180","0.55200"
"06.03.2014","Thu","0.08760","0.11805","0.15440","0.19550","0.23510","0.33200","0.55200"
"05.03.2014","Wed","0.08790","0.12115","0.15560","0.19670","0.23440","0.33110","0.55060"
"04.03.2014","Tue","0.08830","0.12135","0.15650","0.19650","0.23535","0.33150","0.55200"
"03.03.2014","Mon","0.08780","0.11815","0.15530","0.19605","0.23565","0.33050","0.55380"
"28.02.2014","Fri","0.09000","0.12000","0.15550","0.19750","0.23565","0.33050","0.55330"
"27.02.2014","Thu","0.08870","0.12015","0.15450","0.19590","0.23610","0.33000","0.55230"
"26.02.2014","Wed","0.08820","0.11950","0.15450","0.19450","0.23330","0.32970","0.55050"
"25.02.2014","Tue","0.08760","0.12170","0.15450","0.19400","0.23360","0.33050","0.55330"
"24.02.2014","Mon","0.08740","0.12090","0.15450","0.19470","0.23435","0.33050","0.55330"
"21.02.2014","Fri","0.08650","0.11725","0.15550","0.19595","0.23485","0.33050","0.55530"
"20.02.2014","Thu","0.08650","0.12000","0.15550","0.19695","0.23560","0.32950","0.55380"
"19.02.2014","Wed","0.08610","0.11800","0.15450","0.19425","0.23360","0.32900","0.55330"
"18.02.2014","Tue","0.08400","0.11800","0.15400","0.19420","0.23455","0.32970","0.55330"
"17.02.2014","Mon","0.08560","0.11650","0.15350","0.19450","0.23510","0.33000","0.55230"
"14.02.2014","Fri","0.08560","0.11800","0.15450","0.19880","0.23585","0.32900","0.55080"
"13.02.2014","Thu","0.08600","0.11925","0.15450","0.19710","0.23585","0.33100","0.55230"
"12.02.2014","Wed","0.08650","0.11900","0.15350","0.19735","0.23610","0.33100","0.55380"
"11.02.2014","Tue","0.08500","0.11875","0.15425","0.19760","0.23660","0.33200","0.55330"
"10.02.2014","Mon","0.08560","0.11950","0.15475","0.19550","0.23385","0.32910","0.55090"
"07.02.2014","Fri","0.08560","0.12175","0.15550","0.19660","0.23385","0.33110","0.55840"
"06.02.2014","Thu","0.08500","0.11925","0.15650","0.19910","0.23685","0.33310","0.55790"
"05.02.2014","Wed","0.08500","0.11975","0.15750","0.19850","0.23635","0.33300","0.55940"
"04.02.2014","Tue","0.08500","0.11985","0.15750","0.20000","0.23645","0.33330","0.56170"
"03.02.2014","Mon","0.08550","0.12075","0.15710","0.19975","0.23560","0.33350","0.56290"
"31.01.2014","Fri","0.08620","0.12215","0.15650","0.19905","0.23660","0.33630","0.56540"
"30.01.2014","Thu","0.08500","0.12390","0.15850","0.20040","0.23760","0.33700","0.56940"
"29.01.2014","Wed","0.08470","0.12495","0.15950","0.19865","0.23560","0.33350","0.57040"
