中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   APR- 2019 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30APR19,0.26211 ,0.34200 ,0.54011 ,0.62433 ,0.66467 ,0.79378 ,0.92889 ,1.06500 
29APR19,0.26200 ,0.34189 ,0.54011 ,0.62422 ,0.66456 ,0.79367 ,0.92889 ,1.06489 
26APR19,0.26211 ,0.34200 ,0.54011 ,0.62433 ,0.66467 ,0.79378 ,0.92889 ,1.06500 
25APR19,0.26200 ,0.34189 ,0.54011 ,0.62422 ,0.66456 ,0.79367 ,0.92889 ,1.06489 
24APR19,0.26211 ,0.34200 ,0.54011 ,0.62433 ,0.66467 ,0.79378 ,0.92889 ,1.06500 
23APR19,0.26200 ,0.34189 ,0.54011 ,0.62422 ,0.66456 ,0.79367 ,0.92889 ,1.06489 
22APR19,0.26211 ,0.34200 ,0.54011 ,0.62433 ,0.66456 ,0.79378 ,0.92889 ,1.06500 
19APR19,0.26200 ,0.34189 ,0.54011 ,0.62422 ,0.66444 ,0.79367 ,0.92889 ,1.06489 
18APR19,0.26178 ,0.34178 ,0.53989 ,0.62444 ,0.66400 ,0.79378 ,0.92878 ,1.06511 
17APR19,0.26167 ,0.34178 ,0.53978 ,0.62433 ,0.66389 ,0.79367 ,0.92878 ,1.06500 
16APR19,0.26156 ,0.34167 ,0.53967 ,0.62444 ,0.66378 ,0.79356 ,0.92878 ,1.06489 
15APR19,0.26178 ,0.34178 ,0.53989 ,0.62467 ,0.66422 ,0.79378 ,0.92878 ,1.06511 
12APR19,0.26167 ,0.34178 ,0.53978 ,0.62456 ,0.66411 ,0.79367 ,0.92878 ,1.06500 
11APR19,0.26156 ,0.34178 ,0.53978 ,0.62500 ,0.66411 ,0.79356 ,0.92878 ,1.06500 
10APR19,0.26144 ,0.34156 ,0.53956 ,0.62478 ,0.66389 ,0.79344 ,0.92878 ,1.06478 
09APR19,0.26156 ,0.34167 ,0.53967 ,0.62489 ,0.66389 ,0.79356 ,0.92878 ,1.06489 
08APR19,0.26167 ,0.34178 ,0.53978 ,0.62500 ,0.66400 ,0.79367 ,0.92878 ,1.06500 
03APR19,0.26156 ,0.34167 ,0.53967 ,0.62522 ,0.66389 ,0.79356 ,0.92878 ,1.06489 
02APR19,0.26189 ,0.34178 ,0.53978 ,0.62533 ,0.66400 ,0.79367 ,0.92878 ,1.06500 
01APR19,0.26333 ,0.34178 ,0.53989 ,0.62544 ,0.66378 ,0.79389 ,0.92878 ,1.06511 
======================================================================,,,,,,,,
