中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   DEC- 2019 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31DEC19,0.26622 ,0.34233 ,0.54578 ,0.62644 ,0.66822 ,0.79411 ,0.92889 ,1.06511 
30DEC19,0.26611 ,0.34233 ,0.54567 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
27DEC19,0.26611 ,0.34233 ,0.54567 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
26DEC19,0.26622 ,0.34222 ,0.54556 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
25DEC19,0.26767 ,0.34233 ,0.54567 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
24DEC19,0.26744 ,0.34233 ,0.54567 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
23DEC19,0.26589 ,0.34222 ,0.54556 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
20DEC19,0.26600 ,0.34233 ,0.54556 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
19DEC19,0.26589 ,0.34222 ,0.54544 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
18DEC19,0.26589 ,0.34222 ,0.54544 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
17DEC19,0.26578 ,0.34211 ,0.54533 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
16DEC19,0.26567 ,0.34200 ,0.54544 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
13DEC19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
12DEC19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
11DEC19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
10DEC19,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
09DEC19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
06DEC19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
05DEC19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
04DEC19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
03DEC19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
02DEC19,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
======================================================================,,,,,,,,
