中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   NOV- 2019 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29NOV19,0.26589 ,0.34222 ,0.54556 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
28NOV19,0.26578 ,0.34211 ,0.54544 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
27NOV19,0.26567 ,0.34200 ,0.54533 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
26NOV19,0.26567 ,0.34200 ,0.54533 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
25NOV19,0.26578 ,0.34211 ,0.54544 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
22NOV19,0.26567 ,0.34200 ,0.54533 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
21NOV19,0.26578 ,0.34211 ,0.54544 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
20NOV19,0.26578 ,0.34211 ,0.54544 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
19NOV19,0.26578 ,0.34211 ,0.54544 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
18NOV19,0.26556 ,0.34189 ,0.54522 ,0.62600 ,0.66811 ,0.79356 ,0.92889 ,1.06467 
15NOV19,0.26567 ,0.34200 ,0.54533 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
14NOV19,0.26567 ,0.34200 ,0.54533 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
13NOV19,0.26567 ,0.34200 ,0.54544 ,0.62600 ,0.66811 ,0.79367 ,0.92889 ,1.06467 
12NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
11NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
08NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
07NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
06NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
05NOV19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
04NOV19,0.26578 ,0.34211 ,0.54556 ,0.62611 ,0.66811 ,0.79378 ,0.92889 ,1.06478 
01NOV19,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
======================================================================,,,,,,,,
