中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   AUG- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31AUG20,0.17278 ,0.24144 ,0.38722 ,0.44200 ,0.47989 ,0.56900 ,0.70100 ,0.84100 
28AUG20,0.17267 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
27AUG20,0.17267 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
26AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
25AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
24AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
21AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
20AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
19AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
18AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56889 ,0.70078 ,0.84089 
17AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
14AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
13AUG20,0.17256 ,0.24133 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
12AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
11AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56889 ,0.70078 ,0.84089 
10AUG20,0.17256 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56889 ,0.70078 ,0.84089 
07AUG20,0.17267 ,0.24122 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
06AUG20,0.17278 ,0.24133 ,0.38722 ,0.44189 ,0.47989 ,0.56900 ,0.70089 ,0.84100 
05AUG20,0.17333 ,0.24144 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
04AUG20,0.17422 ,0.24189 ,0.38711 ,0.44178 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
03AUG20,0.17422 ,0.24200 ,0.38711 ,0.44189 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
======================================================================,,,,,,,,
