中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   FEB- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
27FEB20,0.26589 ,0.34233 ,0.54322 ,0.62533 ,0.66600 ,0.79333 ,0.92878 ,1.06567 
26FEB20,0.26578 ,0.34222 ,0.54311 ,0.62522 ,0.66589 ,0.79322 ,0.92822 ,1.06511 
25FEB20,0.26589 ,0.34233 ,0.54322 ,0.62533 ,0.66600 ,0.79333 ,0.92878 ,1.06567 
24FEB20,0.26567 ,0.34211 ,0.54300 ,0.62511 ,0.66578 ,0.79311 ,0.92800 ,1.06489 
21FEB20,0.26578 ,0.34222 ,0.54322 ,0.62533 ,0.66589 ,0.79333 ,0.92811 ,1.06500 
20FEB20,0.26600 ,0.34233 ,0.54367 ,0.62556 ,0.66633 ,0.79356 ,0.92844 ,1.06533 
19FEB20,0.26589 ,0.34233 ,0.54578 ,0.62633 ,0.66789 ,0.79467 ,0.92911 ,1.06578 
18FEB20,0.26600 ,0.34233 ,0.54589 ,0.62644 ,0.66800 ,0.79456 ,0.92933 ,1.06578 
17FEB20,0.26589 ,0.34233 ,0.54578 ,0.62633 ,0.66789 ,0.79400 ,0.92889 ,1.06500 
15FEB20,0.26578 ,0.34222 ,0.54567 ,0.62622 ,0.66789 ,0.79433 ,0.92889 ,1.06533 
14FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
13FEB20,0.26611 ,0.34233 ,0.54589 ,0.62644 ,0.66822 ,0.79411 ,0.92889 ,1.06511 
12FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
11FEB20,0.26611 ,0.34233 ,0.54589 ,0.62644 ,0.66822 ,0.79411 ,0.92889 ,1.06511 
10FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
07FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
06FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
05FEB20,0.26589 ,0.34222 ,0.54567 ,0.62622 ,0.66811 ,0.79389 ,0.92889 ,1.06489 
04FEB20,0.26611 ,0.34233 ,0.54589 ,0.62644 ,0.66822 ,0.79411 ,0.92889 ,1.06511 
03FEB20,0.26600 ,0.34233 ,0.54578 ,0.62633 ,0.66811 ,0.79400 ,0.92889 ,1.06500 
======================================================================,,,,,,,,
