中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   JUN- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30JUN20,0.17522 ,0.24233 ,0.38967 ,0.44411 ,0.48000 ,0.57189 ,0.70178 ,0.84189 
29JUN20,0.17511 ,0.24222 ,0.38967 ,0.44400 ,0.47989 ,0.57178 ,0.70178 ,0.84178 
24JUN20,0.17511 ,0.24222 ,0.39056 ,0.44400 ,0.48033 ,0.57289 ,0.70422 ,0.84267 
23JUN20,0.17489 ,0.24211 ,0.38933 ,0.44389 ,0.47978 ,0.57111 ,0.70100 ,0.84111 
22JUN20,0.17489 ,0.24211 ,0.38933 ,0.44389 ,0.47978 ,0.57111 ,0.70100 ,0.84111 
20JUN20,0.17500 ,0.24222 ,0.38944 ,0.44400 ,0.47989 ,0.57133 ,0.70111 ,0.84133 
19JUN20,0.17500 ,0.24222 ,0.38944 ,0.44400 ,0.47989 ,0.57167 ,0.70144 ,0.84167 
18JUN20,0.17500 ,0.24222 ,0.38944 ,0.44400 ,0.47989 ,0.57156 ,0.70144 ,0.84156 
17JUN20,0.17500 ,0.24222 ,0.38944 ,0.44400 ,0.47978 ,0.57111 ,0.70100 ,0.84111 
16JUN20,0.17511 ,0.24233 ,0.38956 ,0.44411 ,0.48000 ,0.57122 ,0.70111 ,0.84122 
15JUN20,0.17522 ,0.24244 ,0.38967 ,0.44422 ,0.48056 ,0.57167 ,0.70167 ,0.84178 
12JUN20,0.17511 ,0.24233 ,0.38956 ,0.44411 ,0.48056 ,0.57111 ,0.70156 ,0.84167 
11JUN20,0.17500 ,0.24222 ,0.38944 ,0.44400 ,0.48044 ,0.57078 ,0.70133 ,0.84144 
10JUN20,0.17489 ,0.24211 ,0.38933 ,0.44389 ,0.48033 ,0.57044 ,0.70089 ,0.84100 
09JUN20,0.17489 ,0.24211 ,0.38944 ,0.44389 ,0.48033 ,0.57056 ,0.70100 ,0.84111 
08JUN20,0.17489 ,0.24211 ,0.38944 ,0.44389 ,0.48033 ,0.57056 ,0.70133 ,0.84122 
05JUN20,0.17478 ,0.24211 ,0.38944 ,0.44389 ,0.48033 ,0.57111 ,0.70189 ,0.84167 
04JUN20,0.17322 ,0.24144 ,0.38822 ,0.44267 ,0.47911 ,0.57078 ,0.70156 ,0.84133 
03JUN20,0.17367 ,0.24144 ,0.38811 ,0.44256 ,0.47900 ,0.57044 ,0.70111 ,0.84022 
02JUN20,0.17378 ,0.24156 ,0.38822 ,0.44267 ,0.47911 ,0.57056 ,0.70133 ,0.84044 
01JUN20,0.17400 ,0.24178 ,0.38844 ,0.44289 ,0.47922 ,0.57111 ,0.70189 ,0.84100 
======================================================================,,,,,,,,
