中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   MAR- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31MAR20,0.17478 ,0.24156 ,0.38667 ,0.44089 ,0.47911 ,0.56978 ,0.70078 ,0.83956 
30MAR20,0.17544 ,0.24156 ,0.38400 ,0.44100 ,0.47911 ,0.56978 ,0.70067 ,0.83956 
27MAR20,0.17611 ,0.24222 ,0.38456 ,0.44156 ,0.47856 ,0.57044 ,0.70022 ,0.83978 
26MAR20,0.17600 ,0.24211 ,0.38422 ,0.44133 ,0.47767 ,0.56989 ,0.70011 ,0.83900 
25MAR20,0.17478 ,0.24078 ,0.38122 ,0.43933 ,0.47400 ,0.56478 ,0.69922 ,0.83722 
24MAR20,0.17433 ,0.23811 ,0.37600 ,0.43844 ,0.47167 ,0.56367 ,0.69633 ,0.83389 
23MAR20,0.17456 ,0.23844 ,0.37789 ,0.43867 ,0.47044 ,0.56322 ,0.69600 ,0.83311 
20MAR20,0.17767 ,0.24211 ,0.38600 ,0.44156 ,0.47511 ,0.57689 ,0.70850 ,0.83911 
19MAR20,0.26656 ,0.34244 ,0.54144 ,0.62167 ,0.66578 ,0.79300 ,0.92700 ,1.06478 
18MAR20,0.26656 ,0.34244 ,0.54156 ,0.62178 ,0.66589 ,0.79300 ,0.92711 ,1.06489 
17MAR20,0.26644 ,0.34244 ,0.54167 ,0.62178 ,0.66578 ,0.79300 ,0.92722 ,1.06478 
16MAR20,0.26644 ,0.34233 ,0.54211 ,0.62167 ,0.66567 ,0.79289 ,0.92711 ,1.06467 
13MAR20,0.26656 ,0.34244 ,0.54244 ,0.62178 ,0.66578 ,0.79300 ,0.92722 ,1.06478 
12MAR20,0.26656 ,0.34233 ,0.54244 ,0.62189 ,0.66589 ,0.79289 ,0.92711 ,1.06467 
11MAR20,0.26667 ,0.34244 ,0.54311 ,0.62267 ,0.66600 ,0.79300 ,0.92722 ,1.06478 
10MAR20,0.26678 ,0.34244 ,0.54311 ,0.62356 ,0.66611 ,0.79300 ,0.92733 ,1.06489 
09MAR20,0.26678 ,0.34244 ,0.54311 ,0.62422 ,0.66611 ,0.79300 ,0.92744 ,1.06489 
06MAR20,0.26656 ,0.34244 ,0.54300 ,0.62467 ,0.66600 ,0.79300 ,0.92767 ,1.06478 
05MAR20,0.26644 ,0.34233 ,0.54289 ,0.62511 ,0.66589 ,0.79311 ,0.92811 ,1.06500 
04MAR20,0.26589 ,0.34233 ,0.54289 ,0.62511 ,0.66589 ,0.79311 ,0.92811 ,1.06500 
03MAR20,0.26578 ,0.34222 ,0.54311 ,0.62500 ,0.66578 ,0.79300 ,0.92800 ,1.06489 
02MAR20,0.26578 ,0.34222 ,0.54311 ,0.62522 ,0.66589 ,0.79322 ,0.92822 ,1.06511 
======================================================================,,,,,,,,
