中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   MAY- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29MAY20,0.17389 ,0.24167 ,0.38833 ,0.44278 ,0.47911 ,0.57078 ,0.70156 ,0.84067 
28MAY20,0.17378 ,0.24156 ,0.38822 ,0.44267 ,0.47900 ,0.57044 ,0.70122 ,0.84033 
27MAY20,0.17400 ,0.24178 ,0.38844 ,0.44289 ,0.47911 ,0.57078 ,0.70156 ,0.84067 
26MAY20,0.17389 ,0.24167 ,0.38844 ,0.44278 ,0.47900 ,0.57033 ,0.70122 ,0.84022 
25MAY20,0.17411 ,0.24178 ,0.38856 ,0.44300 ,0.47922 ,0.57044 ,0.70189 ,0.84033 
22MAY20,0.17511 ,0.24233 ,0.38933 ,0.44400 ,0.48022 ,0.57044 ,0.70189 ,0.84033 
21MAY20,0.17400 ,0.24167 ,0.38844 ,0.44289 ,0.47911 ,0.57044 ,0.70167 ,0.84022 
20MAY20,0.17478 ,0.24233 ,0.38944 ,0.44400 ,0.48022 ,0.57056 ,0.70133 ,0.84044 
19MAY20,0.17378 ,0.24189 ,0.38867 ,0.44300 ,0.47922 ,0.57111 ,0.70178 ,0.84089 
18MAY20,0.17378 ,0.24189 ,0.38867 ,0.44289 ,0.47911 ,0.57056 ,0.70122 ,0.84033 
15MAY20,0.17378 ,0.24189 ,0.38978 ,0.44289 ,0.47911 ,0.57056 ,0.70122 ,0.84033 
14MAY20,0.17389 ,0.24200 ,0.38989 ,0.44300 ,0.47922 ,0.57067 ,0.70133 ,0.84044 
13MAY20,0.17378 ,0.24189 ,0.38978 ,0.44289 ,0.47922 ,0.57056 ,0.70133 ,0.84044 
12MAY20,0.17389 ,0.24200 ,0.38989 ,0.44300 ,0.47967 ,0.57111 ,0.70189 ,0.84100 
11MAY20,0.17389 ,0.24200 ,0.39000 ,0.44300 ,0.47967 ,0.57111 ,0.70189 ,0.84100 
08MAY20,0.17422 ,0.24178 ,0.39089 ,0.44278 ,0.47989 ,0.57111 ,0.70178 ,0.84089 
07MAY20,0.17422 ,0.24167 ,0.39078 ,0.44267 ,0.47978 ,0.57056 ,0.70133 ,0.84044 
06MAY20,0.17467 ,0.24222 ,0.39133 ,0.44322 ,0.48000 ,0.57100 ,0.70178 ,0.84089 
05MAY20,0.17400 ,0.24156 ,0.39067 ,0.44256 ,0.48022 ,0.57044 ,0.70122 ,0.84033 
04MAY20,0.17411 ,0.24156 ,0.39078 ,0.44256 ,0.48111 ,0.57089 ,0.70156 ,0.84067 
======================================================================,,,,,,,,
