中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   OCT- 2020 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30OCT20,0.17100 ,0.24078 ,0.38711 ,0.44067 ,0.47989 ,0.56889 ,0.70089 ,0.84078 
29OCT20,0.17100 ,0.24067 ,0.38711 ,0.44056 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
28OCT20,0.17122 ,0.24078 ,0.38711 ,0.44067 ,0.47989 ,0.56889 ,0.70089 ,0.84078 
27OCT20,0.17189 ,0.24089 ,0.38722 ,0.44133 ,0.47989 ,0.56900 ,0.70100 ,0.84089 
26OCT20,0.17178 ,0.24078 ,0.38711 ,0.44122 ,0.47989 ,0.56889 ,0.70089 ,0.84078 
23OCT20,0.17178 ,0.24078 ,0.38711 ,0.44122 ,0.47989 ,0.56889 ,0.70089 ,0.84078 
22OCT20,0.17189 ,0.24067 ,0.38711 ,0.44111 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
21OCT20,0.17189 ,0.24067 ,0.38711 ,0.44111 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
20OCT20,0.17211 ,0.24089 ,0.38711 ,0.44122 ,0.47989 ,0.56889 ,0.70089 ,0.84089 
19OCT20,0.17211 ,0.24078 ,0.38711 ,0.44111 ,0.47978 ,0.56878 ,0.70078 ,0.84078 
16OCT20,0.17233 ,0.24100 ,0.38733 ,0.44133 ,0.47978 ,0.56900 ,0.70100 ,0.84100 
15OCT20,0.17244 ,0.24100 ,0.38733 ,0.44144 ,0.47978 ,0.56900 ,0.70100 ,0.84100 
14OCT20,0.17256 ,0.24122 ,0.38733 ,0.44156 ,0.47989 ,0.56911 ,0.70111 ,0.84111 
13OCT20,0.17356 ,0.24222 ,0.38733 ,0.44200 ,0.47978 ,0.56900 ,0.70100 ,0.84100 
12OCT20,0.17300 ,0.24178 ,0.38733 ,0.44211 ,0.47989 ,0.56911 ,0.70111 ,0.84111 
08OCT20,0.17300 ,0.24167 ,0.38733 ,0.44200 ,0.47978 ,0.56900 ,0.70100 ,0.84100 
07OCT20,0.17300 ,0.24178 ,0.38733 ,0.44211 ,0.47989 ,0.56911 ,0.70111 ,0.84111 
06OCT20,0.17300 ,0.24178 ,0.38733 ,0.44211 ,0.47989 ,0.56911 ,0.70111 ,0.84111 
05OCT20,0.17300 ,0.24167 ,0.38733 ,0.44200 ,0.47978 ,0.56900 ,0.70100 ,0.84100 
======================================================================,,,,,,,,
