中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，APR-2021）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29APR21,0.17078 ,0.24111 ,0.38756 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
28APR21,0.17078 ,0.24100 ,0.38756 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
27APR21,0.17078 ,0.24100 ,0.38778 ,0.44000 ,0.47978 ,0.56867 ,0.70056 ,0.84000 
26APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
23APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
22APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
21APR21,0.17078 ,0.24111 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
20APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
19APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
16APR21,0.17078 ,0.24100 ,0.38778 ,0.44000 ,0.47978 ,0.56867 ,0.70056 ,0.84000 
15APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
14APR21,0.17078 ,0.24111 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
13APR21,0.17078 ,0.24111 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
12APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
09APR21,0.17078 ,0.24100 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
08APR21,0.17078 ,0.24111 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
07APR21,0.17078 ,0.24111 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
06APR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
01APR21,0.17078 ,0.24100 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
======================================================================,,,,,,,,
