中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，DEC-2021）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30DEC21,0.17367 ,0.24233 ,0.39078 ,0.44300 ,0.48067 ,0.56989 ,0.70122 ,0.84033 
29DEC21,0.17356 ,0.24222 ,0.39078 ,0.44289 ,0.48056 ,0.56978 ,0.70111 ,0.84022 
28DEC21,0.17356 ,0.24233 ,0.39078 ,0.44300 ,0.48056 ,0.56989 ,0.70122 ,0.84033 
27DEC21,0.17333 ,0.24211 ,0.39078 ,0.44278 ,0.48033 ,0.56978 ,0.70111 ,0.84022 
24DEC21,0.17322 ,0.24200 ,0.39078 ,0.44267 ,0.48022 ,0.56956 ,0.70100 ,0.84011 
23DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56944 ,0.70089 ,0.84011 
22DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48000 ,0.56944 ,0.70078 ,0.84011 
21DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56956 ,0.70089 ,0.84011 
20DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56956 ,0.70089 ,0.84011 
17DEC21,0.17322 ,0.24200 ,0.39078 ,0.44267 ,0.48022 ,0.56956 ,0.70100 ,0.84011 
16DEC21,0.17322 ,0.24167 ,0.39078 ,0.44256 ,0.48011 ,0.56944 ,0.70089 ,0.84011 
15DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48000 ,0.56944 ,0.70078 ,0.84011 
14DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56956 ,0.70089 ,0.84011 
13DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56956 ,0.70089 ,0.84011 
10DEC21,0.17333 ,0.24211 ,0.39078 ,0.44278 ,0.48033 ,0.56978 ,0.70111 ,0.84022 
09DEC21,0.17322 ,0.24189 ,0.39078 ,0.44256 ,0.48011 ,0.56956 ,0.70089 ,0.84011 
08DEC21,0.17322 ,0.24200 ,0.39078 ,0.44267 ,0.48022 ,0.56967 ,0.70100 ,0.84011 
07DEC21,0.17333 ,0.24211 ,0.39078 ,0.44278 ,0.48044 ,0.56978 ,0.70122 ,0.84033 
06DEC21,0.17322 ,0.24200 ,0.39133 ,0.44267 ,0.48089 ,0.56989 ,0.70167 ,0.84078 
03DEC21,0.17322 ,0.24200 ,0.39133 ,0.44256 ,0.48089 ,0.56989 ,0.70167 ,0.84078 
02DEC21,0.17322 ,0.24189 ,0.39133 ,0.44244 ,0.48078 ,0.56967 ,0.70156 ,0.84078 
01DEC21,0.17311 ,0.24189 ,0.39111 ,0.44222 ,0.48056 ,0.56878 ,0.70156 ,0.84078 
======================================================================,,,,,,,,
