中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   JAN- 2021 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29JAN21,0.17022 ,0.24044 ,0.38600 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84044 
28JAN21,0.17022 ,0.24044 ,0.38600 ,0.43967 ,0.47967 ,0.56856 ,0.70056 ,0.84033 
27JAN21,0.17022 ,0.24044 ,0.38600 ,0.43967 ,0.47967 ,0.56856 ,0.70056 ,0.84044 
26JAN21,0.17022 ,0.24056 ,0.38600 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
25JAN21,0.17022 ,0.24067 ,0.38611 ,0.43989 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
22JAN21,0.17022 ,0.24056 ,0.38611 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
21JAN21,0.17022 ,0.24056 ,0.38611 ,0.43989 ,0.47978 ,0.56878 ,0.70078 ,0.84056 
20JAN21,0.17022 ,0.24044 ,0.38611 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84044 
19JAN21,0.17022 ,0.24044 ,0.38611 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84044 
18JAN21,0.17022 ,0.24044 ,0.38611 ,0.43967 ,0.47967 ,0.56856 ,0.70056 ,0.84044 
15JAN21,0.17022 ,0.24056 ,0.38633 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
14JAN21,0.17022 ,0.24056 ,0.38633 ,0.43989 ,0.47978 ,0.56878 ,0.70078 ,0.84056 
13JAN21,0.17022 ,0.24044 ,0.38633 ,0.43978 ,0.47978 ,0.56867 ,0.70067 ,0.84044 
12JAN21,0.17022 ,0.24033 ,0.38633 ,0.43967 ,0.47967 ,0.56856 ,0.70056 ,0.84033 
11JAN21,0.17022 ,0.24044 ,0.38633 ,0.43967 ,0.47967 ,0.56856 ,0.70056 ,0.84044 
08JAN21,0.17022 ,0.24056 ,0.38633 ,0.44022 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
07JAN21,0.17022 ,0.24056 ,0.38633 ,0.44022 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
06JAN21,0.17022 ,0.24067 ,0.38633 ,0.44033 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
05JAN21,0.17022 ,0.24056 ,0.38633 ,0.44022 ,0.47978 ,0.56867 ,0.70067 ,0.84056 
04JAN21,0.17022 ,0.24067 ,0.38633 ,0.44033 ,0.47978 ,0.56878 ,0.70078 ,0.84067 
======================================================================,,,,,,,,
