中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   JUL- 2021 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30JUL21,0.17078 ,0.24089 ,0.38733 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
29JUL21,0.17078 ,0.24089 ,0.38733 ,0.44022 ,0.47978 ,0.56856 ,0.70067 ,0.83989 
28JUL21,0.17078 ,0.24089 ,0.38733 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
27JUL21,0.17078 ,0.24100 ,0.38733 ,0.44044 ,0.48000 ,0.56878 ,0.70089 ,0.84011 
26JUL21,0.17078 ,0.24100 ,0.38733 ,0.44044 ,0.48000 ,0.56878 ,0.70089 ,0.84011 
23JUL21,0.17078 ,0.24089 ,0.38733 ,0.44033 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
22JUL21,0.17078 ,0.24089 ,0.38733 ,0.44044 ,0.47989 ,0.56867 ,0.70078 ,0.84000 
21JUL21,0.17089 ,0.24111 ,0.38733 ,0.44067 ,0.48011 ,0.56889 ,0.70100 ,0.84022 
20JUL21,0.17089 ,0.24111 ,0.38733 ,0.44056 ,0.48011 ,0.56889 ,0.70100 ,0.84022 
19JUL21,0.17078 ,0.24100 ,0.38733 ,0.44044 ,0.48000 ,0.56878 ,0.70089 ,0.84011 
16JUL21,0.17067 ,0.24100 ,0.38733 ,0.44044 ,0.48000 ,0.56878 ,0.70078 ,0.84011 
15JUL21,0.17033 ,0.24067 ,0.38678 ,0.43989 ,0.47989 ,0.56878 ,0.70022 ,0.84011 
14JUL21,0.17033 ,0.24056 ,0.38678 ,0.43978 ,0.47978 ,0.56867 ,0.70011 ,0.84000 
13JUL21,0.17033 ,0.24056 ,0.38678 ,0.43978 ,0.47978 ,0.56867 ,0.70011 ,0.84000 
12JUL21,0.17044 ,0.24078 ,0.38689 ,0.44000 ,0.47989 ,0.56889 ,0.70033 ,0.84022 
09JUL21,0.17044 ,0.24078 ,0.38689 ,0.44000 ,0.47989 ,0.56889 ,0.70033 ,0.84022 
08JUL21,0.17033 ,0.24067 ,0.38678 ,0.43989 ,0.47989 ,0.56878 ,0.70022 ,0.84011 
07JUL21,0.17033 ,0.24067 ,0.38678 ,0.43989 ,0.47989 ,0.56878 ,0.70022 ,0.84011 
06JUL21,0.17033 ,0.24056 ,0.38678 ,0.43978 ,0.47978 ,0.56867 ,0.70011 ,0.84000 
05JUL21,0.17033 ,0.24056 ,0.38678 ,0.43967 ,0.47967 ,0.56856 ,0.70000 ,0.83989 
02JUL21,0.17033 ,0.24056 ,0.38733 ,0.43967 ,0.47967 ,0.56856 ,0.70000 ,0.83989 
01JUL21,0.17033 ,0.24056 ,0.38733 ,0.43967 ,0.47967 ,0.56856 ,0.70000 ,0.83989 
======================================================================,,,,,,,,
