中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，Mar-2021）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
30MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
29MAR21,0.17078 ,0.24089 ,0.38778 ,0.44000 ,0.47978 ,0.56867 ,0.70056 ,0.84000 
26MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
25MAR21,0.17078 ,0.24100 ,0.38778 ,0.44022 ,0.48000 ,0.56889 ,0.70078 ,0.84022 
24MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
23MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
22MAR21,0.17078 ,0.24089 ,0.38778 ,0.44000 ,0.47978 ,0.56867 ,0.70056 ,0.84000 
19MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
18MAR21,0.17078 ,0.24089 ,0.38778 ,0.44011 ,0.47989 ,0.56878 ,0.70067 ,0.84011 
17MAR21,0.17067 ,0.24089 ,0.38767 ,0.44011 ,0.47989 ,0.56878 ,0.70056 ,0.84011 
16MAR21,0.17033 ,0.24056 ,0.38733 ,0.43967 ,0.47967 ,0.56867 ,0.70011 ,0.84000 
15MAR21,0.17033 ,0.24056 ,0.38733 ,0.43978 ,0.47978 ,0.56878 ,0.70022 ,0.84022 
12MAR21,0.17033 ,0.24067 ,0.38733 ,0.43989 ,0.47989 ,0.56889 ,0.70033 ,0.84078 
11MAR21,0.17033 ,0.24056 ,0.38733 ,0.43978 ,0.47978 ,0.56878 ,0.70022 ,0.84067 
10MAR21,0.17033 ,0.24056 ,0.38733 ,0.43989 ,0.47989 ,0.56889 ,0.70033 ,0.84078 
09MAR21,0.17022 ,0.24033 ,0.38722 ,0.43967 ,0.47978 ,0.56867 ,0.70011 ,0.84056 
08MAR21,0.17022 ,0.24033 ,0.38722 ,0.43967 ,0.47978 ,0.56867 ,0.70011 ,0.84056 
05MAR21,0.17022 ,0.24044 ,0.38722 ,0.43978 ,0.47978 ,0.56878 ,0.70022 ,0.84067 
04MAR21,0.17022 ,0.24033 ,0.38722 ,0.43967 ,0.47978 ,0.56867 ,0.70011 ,0.84056 
03MAR21,0.17022 ,0.24033 ,0.38711 ,0.43967 ,0.47978 ,0.56867 ,0.70011 ,0.84056 
02MAR21,0.17022 ,0.24044 ,0.38600 ,0.43978 ,0.47978 ,0.56878 ,0.70033 ,0.84056 
======================================================================,,,,,,,,
