中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，OCT-2021）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29OCT21,0.17211 ,0.24189 ,0.38989 ,0.44233 ,0.48067 ,0.56889 ,0.70122 ,0.84078 
28OCT21,0.17211 ,0.24189 ,0.38989 ,0.44233 ,0.48056 ,0.56889 ,0.70122 ,0.84078 
27OCT21,0.17211 ,0.24178 ,0.38989 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
26OCT21,0.17211 ,0.24178 ,0.38989 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
25OCT21,0.17211 ,0.24178 ,0.38989 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
22OCT21,0.17211 ,0.24178 ,0.38989 ,0.44211 ,0.48033 ,0.56867 ,0.70100 ,0.84067 
21OCT21,0.17211 ,0.24178 ,0.38989 ,0.44211 ,0.48044 ,0.56867 ,0.70100 ,0.84067 
20OCT21,0.17211 ,0.24167 ,0.38989 ,0.44222 ,0.48056 ,0.56878 ,0.70111 ,0.84078 
19OCT21,0.17167 ,0.24122 ,0.38989 ,0.44233 ,0.48067 ,0.56889 ,0.70122 ,0.84089 
18OCT21,0.17167 ,0.24122 ,0.38978 ,0.44233 ,0.48056 ,0.56889 ,0.70122 ,0.84078 
15OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
14OCT21,0.17167 ,0.24111 ,0.38978 ,0.44211 ,0.48033 ,0.56867 ,0.70100 ,0.84056 
13OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
12OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
08OCT21,0.17167 ,0.24111 ,0.38978 ,0.44211 ,0.48033 ,0.56867 ,0.70100 ,0.84056 
07OCT21,0.17167 ,0.24111 ,0.38978 ,0.44211 ,0.48033 ,0.56867 ,0.70100 ,0.84056 
06OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
05OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
04OCT21,0.17167 ,0.24111 ,0.38978 ,0.44222 ,0.48044 ,0.56878 ,0.70111 ,0.84067 
01OCT21,0.17167 ,0.24111 ,0.38978 ,0.44211 ,0.48033 ,0.56867 ,0.70100 ,0.84056 
======================================================================,,,,,,,,
