中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   SEP- 2021 ）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
30SEP21,0.17156 ,0.24111 ,0.38956 ,0.44211 ,0.48044 ,0.56878 ,0.70111 ,0.84056 
29SEP21,0.17144 ,0.24100 ,0.38933 ,0.44178 ,0.48011 ,0.56856 ,0.70078 ,0.84022 
28SEP21,0.17144 ,0.24100 ,0.38833 ,0.44189 ,0.48022 ,0.56867 ,0.70089 ,0.84033 
27SEP21,0.17144 ,0.24100 ,0.38944 ,0.44178 ,0.48011 ,0.56856 ,0.70078 ,0.84022 
24SEP21,0.17144 ,0.24100 ,0.38944 ,0.44189 ,0.48022 ,0.56867 ,0.70089 ,0.84033 
23SEP21,0.17144 ,0.24100 ,0.38944 ,0.44189 ,0.48011 ,0.56867 ,0.70089 ,0.84033 
22SEP21,0.17144 ,0.24100 ,0.38944 ,0.44178 ,0.48000 ,0.56856 ,0.70078 ,0.84022 
17SEP21,0.17144 ,0.24100 ,0.38933 ,0.44178 ,0.48011 ,0.56856 ,0.70089 ,0.84033 
16SEP21,0.17133 ,0.24089 ,0.38889 ,0.44133 ,0.47978 ,0.56833 ,0.70067 ,0.83989 
15SEP21,0.17067 ,0.24078 ,0.38767 ,0.44022 ,0.47978 ,0.56833 ,0.70067 ,0.83989 
14SEP21,0.17067 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56844 ,0.70078 ,0.84000 
13SEP21,0.17067 ,0.24078 ,0.38767 ,0.44022 ,0.47978 ,0.56833 ,0.70067 ,0.83989 
11SEP21,0.17067 ,0.24078 ,0.38756 ,0.44022 ,0.47978 ,0.56833 ,0.70067 ,0.83989 
10SEP21,0.17067 ,0.24078 ,0.38756 ,0.44011 ,0.47967 ,0.56822 ,0.70056 ,0.83978 
09SEP21,0.17067 ,0.24078 ,0.38756 ,0.44022 ,0.47978 ,0.56833 ,0.70067 ,0.83989 
08SEP21,0.17067 ,0.24078 ,0.38756 ,0.44022 ,0.47978 ,0.56844 ,0.70067 ,0.83989 
07SEP21,0.17078 ,0.24100 ,0.38767 ,0.44044 ,0.48000 ,0.56856 ,0.70089 ,0.84011 
06SEP21,0.17078 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56844 ,0.70078 ,0.84000 
03SEP21,0.17078 ,0.24089 ,0.38767 ,0.44022 ,0.47978 ,0.56844 ,0.70067 ,0.83989 
02SEP21,0.17078 ,0.24089 ,0.38767 ,0.44033 ,0.47989 ,0.56856 ,0.70078 ,0.84000 
01SEP21,0.17078 ,0.24100 ,0.38767 ,0.44044 ,0.48000 ,0.56867 ,0.70089 ,0.84011 
======================================================================,,,,,,,,
