中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，APR-2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29APR22,0.37744 ,0.49367 ,0.63600 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
28APR22,0.37744 ,0.49367 ,0.63589 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
27APR22,0.37744 ,0.49356 ,0.63578 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
26APR22,0.37744 ,0.49344 ,0.63500 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
25APR22,0.37744 ,0.49344 ,0.63567 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
22APR22,0.37744 ,0.49344 ,0.63567 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
21APR22,0.37744 ,0.49344 ,0.63567 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
20APR22,0.37744 ,0.49344 ,0.63556 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
19APR22,0.37744 ,0.49333 ,0.63544 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
18APR22,0.37733 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
15APR22,0.37733 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
14APR22,0.37733 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
13APR22,0.37711 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
12APR22,0.37711 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
11APR22,0.37711 ,0.49322 ,0.63533 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
08APR22,0.37700 ,0.49322 ,0.63522 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
07APR22,0.37678 ,0.49311 ,0.63500 ,0.69011 ,0.72967 ,0.81978 ,0.95011 ,1.09100 
06APR22,0.37589 ,0.49311 ,0.63500 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
01APR22,0.37589 ,0.49278 ,0.63500 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
31MAR22,0.37589 ,0.49278 ,0.63500 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
30MAR22,0.37578 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
29MAR22,0.37556 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
28MAR22,0.37444 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
25MAR22,0.37444 ,0.49267 ,0.63533 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
24MAR22,0.37444 ,0.49267 ,0.63533 ,0.68989 ,0.72944 ,0.81967 ,0.95011 ,1.09100 
23MAR22,0.37400 ,0.49278 ,0.63533 ,0.68978 ,0.72933 ,0.81944 ,0.95022 ,1.09111 
22MAR22,0.37456 ,0.49367 ,0.63478 ,0.68933 ,0.72844 ,0.81856 ,0.95056 ,1.09200 
21MAR22,0.37444 ,0.49389 ,0.63478 ,0.68844 ,0.72822 ,0.81867 ,0.95067 ,1.09200 
18MAR22,0.37400 ,0.49400 ,0.63322 ,0.68756 ,0.72633 ,0.81878 ,0.95011 ,1.09178 
17MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
16MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
15MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
14MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
11MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
10MAR22,0.17389 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
09MAR22,0.17389 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
08MAR22,0.17378 ,0.24222 ,0.39111 ,0.44311 ,0.48000 ,0.56978 ,0.70089 ,0.84000 
07MAR22,0.17367 ,0.24222 ,0.39111 ,0.44311 ,0.48000 ,0.56978 ,0.70089 ,0.84000 
04MAR22,0.17378 ,0.24222 ,0.39111 ,0.44311 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
03MAR22,0.17356 ,0.24211 ,0.39100 ,0.44300 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
======================================================================,,,,,,,,
