中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，FEB 2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
25FEB22,0.17333 ,0.24222 ,0.39078 ,0.44289 ,0.48033 ,0.57000 ,0.70111 ,0.84022 
24FEB22,0.17322 ,0.24200 ,0.39078 ,0.44267 ,0.48011 ,0.56978 ,0.70089 ,0.84011 
23FEB22,0.17344 ,0.24211 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
22FEB22,0.17322 ,0.24200 ,0.39078 ,0.44267 ,0.48011 ,0.56978 ,0.70089 ,0.84011 
21FEB22,0.17333 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
18FEB22,0.17333 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
17FEB22,0.17333 ,0.24211 ,0.39078 ,0.44267 ,0.48011 ,0.56978 ,0.70089 ,0.84011 
16FEB22,0.17333 ,0.24211 ,0.39078 ,0.44267 ,0.48011 ,0.56978 ,0.70089 ,0.84011 
15FEB22,0.17333 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
14FEB22,0.17344 ,0.24244 ,0.39078 ,0.44289 ,0.48033 ,0.57000 ,0.70111 ,0.84022 
11FEB22,0.17344 ,0.24267 ,0.39078 ,0.44289 ,0.48033 ,0.57000 ,0.70111 ,0.84022 
10FEB22,0.17344 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
09FEB22,0.17356 ,0.24233 ,0.39078 ,0.44289 ,0.48033 ,0.57000 ,0.70111 ,0.84022 
08FEB22,0.17356 ,0.24244 ,0.39078 ,0.44289 ,0.48044 ,0.57000 ,0.70111 ,0.84022 
07FEB22,0.17356 ,0.24256 ,0.39078 ,0.44300 ,0.48056 ,0.57011 ,0.70122 ,0.84033 
======================================================================,,,,,,,,
