中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，JAN-2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
28JAN22,0.17356 ,0.24256 ,0.39078 ,0.44311 ,0.48056 ,0.57011 ,0.70133 ,0.84044 
27JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.57011 ,0.70122 ,0.84033 
26JAN22,0.17333 ,0.24233 ,0.39078 ,0.44289 ,0.48033 ,0.57000 ,0.70111 ,0.84022 
25JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.57000 ,0.70122 ,0.84033 
24JAN22,0.17333 ,0.24233 ,0.39078 ,0.44289 ,0.48033 ,0.56989 ,0.70111 ,0.84022 
22JAN22,0.17322 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56978 ,0.70100 ,0.84011 
21JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.56989 ,0.70111 ,0.84022 
20JAN22,0.17322 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56978 ,0.70100 ,0.84011 
19JAN22,0.17333 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56967 ,0.70089 ,0.84011 
18JAN22,0.17333 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56967 ,0.70089 ,0.84011 
17JAN22,0.17333 ,0.24233 ,0.39078 ,0.44289 ,0.48033 ,0.56978 ,0.70100 ,0.84011 
14JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.57000 ,0.70122 ,0.84033 
13JAN22,0.17322 ,0.24222 ,0.39078 ,0.44278 ,0.48022 ,0.56978 ,0.70100 ,0.84011 
12JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.56989 ,0.70111 ,0.84022 
11JAN22,0.17344 ,0.24244 ,0.39078 ,0.44300 ,0.48044 ,0.56989 ,0.70111 ,0.84022 
10JAN22,0.17333 ,0.24233 ,0.39078 ,0.44289 ,0.48033 ,0.56978 ,0.70100 ,0.84011 
07JAN22,0.17344 ,0.24244 ,0.39078 ,0.44289 ,0.48044 ,0.56989 ,0.70111 ,0.84022 
06JAN22,0.17367 ,0.24267 ,0.39078 ,0.44300 ,0.48067 ,0.57000 ,0.70122 ,0.84033 
05JAN22,0.17356 ,0.24256 ,0.39078 ,0.44300 ,0.48056 ,0.57000 ,0.70122 ,0.84033 
04JAN22,0.17333 ,0.24233 ,0.39078 ,0.44278 ,0.48033 ,0.56989 ,0.70111 ,0.84022 
03JAN22,0.17333 ,0.24200 ,0.39078 ,0.44267 ,0.48033 ,0.56967 ,0.70100 ,0.84011 
======================================================================,,,,,,,,
