中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，   JUL- 2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
29JUL22,0.52733 ,0.63167 ,0.77644 ,0.83222 ,0.86922 ,0.96322 ,1.08000 ,1.22144 
28JUL22,0.52733 ,0.63167 ,0.77644 ,0.83222 ,0.86922 ,0.96322 ,1.08000 ,1.22144 
27JUL22,0.52733 ,0.63156 ,0.77578 ,0.83222 ,0.86922 ,0.96322 ,1.08000 ,1.22144 
26JUL22,0.52711 ,0.63133 ,0.77633 ,0.83211 ,0.86922 ,0.96311 ,1.08000 ,1.22144 
25JUL22,0.52689 ,0.63100 ,0.77633 ,0.83211 ,0.86922 ,0.96300 ,1.08000 ,1.22144 
22JUL22,0.52678 ,0.63044 ,0.77633 ,0.83211 ,0.86922 ,0.96244 ,1.08000 ,1.22144 
21JUL22,0.52589 ,0.63000 ,0.77578 ,0.83189 ,0.86922 ,0.96233 ,1.08000 ,1.22144 
20JUL22,0.52478 ,0.62844 ,0.77578 ,0.83167 ,0.86922 ,0.96233 ,1.08000 ,1.22144 
19JUL22,0.52467 ,0.62900 ,0.77578 ,0.83022 ,0.86922 ,0.96167 ,1.08000 ,1.22144 
18JUL22,0.52444 ,0.62878 ,0.77567 ,0.83011 ,0.86922 ,0.96144 ,1.08000 ,1.22144 
15JUL22,0.52444 ,0.62856 ,0.77567 ,0.83011 ,0.86922 ,0.96144 ,1.08000 ,1.22144 
14JUL22,0.52389 ,0.62744 ,0.77567 ,0.83011 ,0.86922 ,0.96144 ,1.08000 ,1.22144 
13JUL22,0.52389 ,0.62744 ,0.77556 ,0.83011 ,0.86922 ,0.96144 ,1.08000 ,1.22144 
12JUL22,0.52356 ,0.62744 ,0.77544 ,0.82989 ,0.86911 ,0.96111 ,1.08000 ,1.22144 
11JUL22,0.52289 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.96033 ,1.07989 ,1.22144 
08JUL22,0.52233 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.95989 ,1.07989 ,1.22144 
07JUL22,0.52233 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.95989 ,1.07989 ,1.22144 
06JUL22,0.52233 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.95989 ,1.07989 ,1.22144 
05JUL22,0.52233 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.95989 ,1.07989 ,1.22144 
04JUL22,0.52233 ,0.62744 ,0.77489 ,0.82933 ,0.86856 ,0.95989 ,1.07989 ,1.22144 
01JUL22,0.52222 ,0.62722 ,0.77478 ,0.82878 ,0.86911 ,0.95989 ,1.07989 ,1.22144 
======================================================================,,,,,,,,
