中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，MAR-2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31MAR22,0.37589 ,0.49278 ,0.63500 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
30MAR22,0.37578 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
29MAR22,0.37556 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
28MAR22,0.37444 ,0.49267 ,0.63489 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
25MAR22,0.37444 ,0.49267 ,0.63533 ,0.68989 ,0.72944 ,0.81978 ,0.95011 ,1.09100 
24MAR22,0.37444 ,0.49267 ,0.63533 ,0.68989 ,0.72944 ,0.81967 ,0.95011 ,1.09100 
23MAR22,0.37400 ,0.49278 ,0.63533 ,0.68978 ,0.72933 ,0.81944 ,0.95022 ,1.09111 
22MAR22,0.37456 ,0.49367 ,0.63478 ,0.68933 ,0.72844 ,0.81856 ,0.95056 ,1.09200 
21MAR22,0.37444 ,0.49389 ,0.63478 ,0.68844 ,0.72822 ,0.81867 ,0.95067 ,1.09200 
18MAR22,0.37400 ,0.49400 ,0.63322 ,0.68756 ,0.72633 ,0.81878 ,0.95011 ,1.09178 
17MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
16MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
15MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
14MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
11MAR22,0.17400 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
10MAR22,0.17389 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
09MAR22,0.17389 ,0.24233 ,0.39111 ,0.44322 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
08MAR22,0.17378 ,0.24222 ,0.39111 ,0.44311 ,0.48000 ,0.56978 ,0.70089 ,0.84000 
07MAR22,0.17367 ,0.24222 ,0.39111 ,0.44311 ,0.48000 ,0.56978 ,0.70089 ,0.84000 
04MAR22,0.17378 ,0.24222 ,0.39111 ,0.44311 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
03MAR22,0.17356 ,0.24211 ,0.39100 ,0.44300 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
02MAR22,0.17322 ,0.24211 ,0.39078 ,0.44289 ,0.48011 ,0.56978 ,0.70089 ,0.84000 
01MAR22,0.17322 ,0.24211 ,0.39078 ,0.44278 ,0.48022 ,0.56989 ,0.70100 ,0.84011 
======================================================================,,,,,,,,
