中華民國銀行公會金融業拆款中心,,,,,,,,
台北金融業拆款定盤利率（TAIBOR，MAY-2022）,,,,,,,,
日期,一星期,二星期,一個月,二個月,三個月,六個月,九個月,一年期
31MAY22,0.38244 ,0.49678 ,0.63989 ,0.69122 ,0.73000 ,0.82000 ,0.95011 ,1.09289 
30MAY22,0.38244 ,0.49678 ,0.63989 ,0.69122 ,0.73000 ,0.82000 ,0.95011 ,1.09289 
27MAY22,0.38233 ,0.49667 ,0.63989 ,0.69122 ,0.73000 ,0.82000 ,0.95011 ,1.09256 
26MAY22,0.38222 ,0.49622 ,0.63989 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09156 
25MAY22,0.38167 ,0.49678 ,0.63989 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
24MAY22,0.38167 ,0.49711 ,0.63989 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
23MAY22,0.38167 ,0.49711 ,0.63989 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
20MAY22,0.38167 ,0.49678 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
19MAY22,0.38167 ,0.49700 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
18MAY22,0.38167 ,0.49667 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
17MAY22,0.38167 ,0.49667 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
16MAY22,0.38167 ,0.49667 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09267 
13MAY22,0.38156 ,0.49656 ,0.63978 ,0.69111 ,0.73000 ,0.82000 ,0.95011 ,1.09256 
12MAY22,0.38144 ,0.49644 ,0.63967 ,0.69100 ,0.73000 ,0.82000 ,0.95011 ,1.09233 
11MAY22,0.38144 ,0.49644 ,0.63967 ,0.69100 ,0.73000 ,0.82000 ,0.95011 ,1.09233 
10MAY22,0.38144 ,0.49611 ,0.63967 ,0.69100 ,0.73000 ,0.82000 ,0.95011 ,1.09233 
09MAY22,0.38133 ,0.49600 ,0.63956 ,0.69089 ,0.73000 ,0.82000 ,0.95011 ,1.09233 
06MAY22,0.38111 ,0.49556 ,0.63900 ,0.69033 ,0.73000 ,0.82000 ,0.95011 ,1.09200 
05MAY22,0.38033 ,0.49533 ,0.63833 ,0.69033 ,0.73000 ,0.82000 ,0.95011 ,1.09200 
04MAY22,0.37800 ,0.49422 ,0.63778 ,0.69033 ,0.73000 ,0.82000 ,0.95011 ,1.09189 
03MAY22,0.37744 ,0.49367 ,0.63600 ,0.69011 ,0.72978 ,0.81978 ,0.95011 ,1.09100 
======================================================================,,,,,,,,
