交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,0.004931029294141062
2021/08/09,9,14,0.00482547979677575
2021/08/10,8,15,0.0074571087461199085
2021/08/11,7,16,0.008719360314205747
2021/08/12,6,17,0.010566767243944054
2021/08/13,5,18,0.013887105455616286
2021/08/16,2,19,0.0227360446962126
2021/08/17,1,20,0.047701473718151526
2021/08/19,27,2,0.005416172886234682
2021/08/20,26,3,0.008696084253767578
2021/08/23,23,4,0.005118304556618054
2021/08/24,22,5,0.0033703109926030684
2021/08/25,21,6,0.0037736951233871166
2021/08/26,20,7,0.0011073045503044558
2021/08/27,19,8,0.00422739861899519
2021/08/30,16,9,0.003102048217420953
2021/08/31,15,10,0.0033033352974246944
2021/09/01,14,11,0.002851766098254137
2021/09/02,13,12,0.003316673468116509
2021/09/03,12,13,0.0031670294360263383
2021/09/06,9,14,0.004078697248371834
2021/09/07,8,15,0.0029117954411599567
2021/09/08,7,16,0.004485956485033285
2021/09/09,6,17,0.008075943113551231
2021/09/10,5,18,0.000859551551095906
2021/09/13,2,19,0.002210911427034131
2021/09/14,1,20,0.01869417337368885
2021/09/16,34,2,0.005592712692430779
2021/09/17,33,3,0.006535104055845444
2021/09/22,28,4,0.007519810137307604
2021/09/23,27,5,0.008294245481076636
2021/09/24,26,6,0.007553826265411493
2021/09/27,23,7,0.007555063458705008
2021/09/28,22,8,0.006041955034659097
2021/09/29,21,9,0.011468601461339942
2021/09/30,20,10,0.008433703230010622
2021/10/01,19,11,0.017711008752810998
2021/10/04,16,12,0.010751561096327751
2021/10/05,15,13,0.008459152919172706
2021/10/06,14,14,0.008243709146373766
2021/10/07,13,15,0.006593523013223086
2021/10/08,12,16,0.005515179264713778
2021/10/12,8,17,0.01149655417299433
2021/10/13,7,18,0.009600706525893196
2021/10/14,6,19,0.010182668605096517
2021/10/15,5,20,0.0013354278124029632
2021/10/18,2,21,0.0022623230358580133
2021/10/19,1,22,0.016232882582650158
2021/10/21,27,2,0.006134749561193105
2021/10/22,26,3,0.006401582606201459
2021/10/25,23,4,0.005324024202145362
2021/10/26,22,5,0.0060679365471063154
2021/10/27,21,6,0.006879335999574274
2021/10/28,20,7,0.006856814413686143
2021/10/29,19,8,0.00517583654584561
2021/11/01,16,9,0.00737651609035125
2021/11/02,15,10,0.005468388777774613
2021/11/03,14,11,0.005543644182366589
2021/11/04,13,12,0.005773229363307813
2021/11/05,12,13,0.005869753626131873
2021/11/08,9,14,0.008068861831060963
2021/11/09,8,15,0.005088660262476135
2021/11/10,7,16,0.003987646244911275
2021/11/11,6,17,0.00297634261999862
2021/11/12,5,18,0.005004979447660084
2021/11/15,2,19,0.003017433912290354
2021/11/16,1,20,0.025191555117678212
2021/11/18,27,2,0.007973649601445651
2021/11/19,26,3,0.007632392341679139
2021/11/22,23,4,0.007660492556645987
2021/11/23,22,5,0.008241728116246082
2021/11/24,21,6,0.00899120223333996
2021/11/25,20,7,0.008135268414730612
2021/11/26,19,8,0.00914615915864951
2021/11/29,16,9,0.012283791489174366
2021/11/30,15,10,0.009246814233866522
2021/12/01,14,11,0.005743653132747727
2021/12/02,13,12,0.006004728732681378
2021/12/03,12,13,0.006365449101642956
2021/12/06,9,14,0.0050171827960729205
2021/12/07,8,15,0.0032659046474295965
2021/12/08,7,16,0.0035361765486731805
2021/12/09,6,17,0.004724583730862924
2021/12/10,5,18,0.002896252933432326
2021/12/13,2,19,0.0043260246996857715
2021/12/14,1,20,0.05302544393742296
2021/12/16,34,2,0.007567794335291292
2021/12/17,33,3,0.00948700351436388
2021/12/20,30,4,0.008908994599178245
2021/12/21,29,5,0.007811487466090407
2021/12/22,28,6,0.00980085847425194
2021/12/23,27,7,0.00843396698440538
2021/12/24,26,8,0.00805059916111278
2021/12/27,23,9,0.006670855750458054
2021/12/28,22,10,0.006523990180863363
2021/12/29,21,11,0.007519634713171404
2021/12/30,20,12,0.006801879556647002
2022/01/03,16,13,0.006937555436466159
2022/01/04,15,14,0.009623645365037067
2022/01/05,14,15,0.006892652985933622
2022/01/06,13,16,0.004955254241880326
2022/01/07,12,17,0.0034563638336999234
2022/01/10,9,18,0.0024592253167666804
2022/01/11,8,19,0.00394176637349985
2022/01/12,7,20,0.005571988047649855
2022/01/13,6,21,0.0037897157106484523
2022/01/14,5,22,0.006271439746950724
2022/01/17,2,23,0.014782160047486602
2022/01/18,1,24,0.07057015468211386
2022/01/20,27,2,0.007066282457997303
2022/01/21,26,3,0.006818369072841943
2022/01/24,23,4,0.007730239891599916
2022/01/25,22,5,0.0093424344578467
2022/01/26,21,6,0.01492496891886948
2022/02/07,9,7,0.009662374722485476
2022/02/08,8,8,0.006326813625700727
2022/02/09,7,9,0.005273949933073122
2022/02/10,6,10,0.004247347484044463
2022/02/11,5,11,0.011259604982641731
2022/02/14,2,12,0.02133861311488287
2022/02/15,1,13,0.014891795988172373
2022/02/17,27,2,0.011858219449377429
2022/02/18,26,3,0.00886552840767371
2022/02/21,23,4,0.00770882614543853
2022/02/22,22,5,0.008636452669230354
2022/02/23,21,6,0.010097087066271934
2022/02/24,20,7,0.019426375686389545
