交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,0.0004458207738806589
2021/08/09,9,14,0.00018367139313531052
2021/08/10,8,15,0.000412230014484752
2021/08/11,7,16,0.0019085551364318135
2021/08/12,6,17,0.010797045847721006
2021/08/13,5,18,0.030411746593400044
2021/08/16,2,19,0.0010529771854918728
2021/08/17,1,20,0.0008384837152822363
2021/08/19,27,2,0.003990538448824282
2021/08/20,26,3,0.0008346239251442464
2021/08/23,23,4,0.0004711094007789056
2021/08/24,22,5,0.00042284315993941756
2021/08/25,21,6,0.0012190483905195424
2021/08/26,20,7,0.0004834997368067224
2021/08/27,19,8,0.0004810951509816741
2021/08/30,16,9,0.00012012213313743565
2021/08/31,15,10,0.00011764572319701711
2021/09/01,14,11,0.0013221725770310821
2021/09/02,13,12,0.0003895153208017047
2021/09/03,12,13,0.0015112587488732858
2021/09/06,9,14,0.002244275915749373
2021/09/07,8,15,0.002333283298223541
2021/09/08,7,16,0.004511507564128252
2021/09/09,6,17,0.003896614234393352
2021/09/10,5,18,0.005730446128037124
2021/09/13,2,19,0.00048522917131447096
2021/09/14,1,20,0.0005291346404379966
2021/09/16,34,2,0.00032649289966704556
2021/09/17,33,3,1.955441659277327e-05
2021/09/22,28,4,0.00033993718656192694
2021/09/23,27,5,0.0005176036820322593
2021/09/24,26,6,0.00011866044625939603
2021/09/27,23,7,0.00042480793715194586
2021/09/28,22,8,0.000226478376514543
2021/09/29,21,9,0.002497198404966558
2021/09/30,20,10,0.00011041368834853965
2021/10/01,19,11,0.0011482679708289584
2021/10/04,16,12,0.0005000644908215318
2021/10/05,15,13,0.0010148211293367175
2021/10/06,14,14,0.00046103870034144276
2021/10/07,13,15,0.0010265643338368221
2021/10/08,12,16,0.0007059364012588532
2021/10/12,8,17,0.0017320653262512592
2021/10/13,7,18,0.00978221106818404
2021/10/14,6,19,0.006459361017885916
2021/10/15,5,20,0.004166490489974041
2021/10/18,2,21,0.001323954151232973
2021/10/19,1,22,0.0009757367031586774
2021/10/21,27,2,0.00036461845904972844
2021/10/22,26,3,0.0005399835239160014
2021/10/25,23,4,0.0009532868384918258
2021/10/26,22,5,0.00039684350435493197
2021/10/27,21,6,0.00015857273539331024
2021/10/28,20,7,0.0003220282285178895
2021/10/29,19,8,4.668822511708154e-05
2021/11/01,16,9,9.742419329812995e-05
2021/11/02,15,10,0.00039499188320282053
2021/11/03,14,11,0.0007579806603610791
2021/11/04,13,12,0.0013280184744642993
2021/11/05,12,13,0.002077787602171315
2021/11/08,9,14,0.0006306488092553753
