交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,18.82043198500864
2021/08/09,9,14,8.147912262331582
2021/08/10,8,15,9.927567218006374
2021/08/11,7,16,11.628530019968665
2021/08/12,6,17,18.418425428271632
2021/08/13,5,18,17.254366115939714
2021/08/16,2,19,169.69487373765676
2021/08/17,1,20,382.937512604556
2021/08/19,27,2,99.74679955965506
2021/08/20,26,3,209.5902116286928
2021/08/23,23,4,35.53017821755392
2021/08/24,22,5,15.494480476312406
2021/08/25,21,6,8.704094166616374
2021/08/26,20,7,10.836367699672284
2021/08/27,19,8,7.427209990082604
2021/08/30,16,9,8.816185026751977
2021/08/31,15,10,7.22024884021594
2021/09/01,14,11,11.456326779802897
2021/09/02,13,12,8.052147532630586
2021/09/03,12,13,8.644823587147641
2021/09/06,9,14,11.53584237594195
2021/09/07,8,15,6.031587740675066
2021/09/08,7,16,8.29845921237932
2021/09/09,6,17,11.495983791858324
2021/09/10,5,18,43.0139621274228
2021/09/13,2,19,5.2720102708809495
2021/09/14,1,20,7.284334241736089
2021/09/16,34,2,15.323823564563654
2021/09/17,33,3,21.671231599929907
2021/09/22,28,4,37.244254320794745
2021/09/23,27,5,9.036465359797013
2021/09/24,26,6,11.129587947370663
2021/09/27,23,7,9.531027059678598
2021/09/28,22,8,8.230390160297532
2021/09/29,21,9,56.16662449205152
2021/09/30,20,10,28.576827144873317
2021/10/01,19,11,138.96337046568985
2021/10/04,16,12,232.77215380522716
2021/10/05,15,13,235.95842011235518
2021/10/06,14,14,212.50860185231164
2021/10/07,13,15,101.34680687385166
2021/10/08,12,16,102.34496548010863
2021/10/12,8,17,248.48032578195094
2021/10/13,7,18,161.3450277686591
2021/10/14,6,19,31.4409423897052
2021/10/15,5,20,19.092402299435133
2021/10/18,2,21,11.488865461831182
2021/10/19,1,22,17.885668157872686
2021/10/21,27,2,7.304880808429763
2021/10/22,26,3,7.29737340372863
2021/10/25,23,4,6.315382695238229
2021/10/26,22,5,8.703494437779987
2021/10/27,21,6,24.768531244647246
2021/10/28,20,7,28.731351374227735
2021/10/29,19,8,14.355522407381347
2021/11/01,16,9,16.326496215992414
2021/11/02,15,10,14.854420109701481
2021/11/03,14,11,24.027018767451608
2021/11/04,13,12,34.121328295779236
2021/11/05,12,13,45.05615587430662
2021/11/08,9,14,58.62705204692521
2021/11/09,8,15,65.57452357660486
2021/11/10,7,16,88.84735643862345
2021/11/11,6,17,94.98851976820747
2021/11/12,5,18,137.98683710694806
2021/11/15,2,19,31.560017191082924
2021/11/16,1,20,38.257878647455115
2021/11/18,27,2,97.82041262894256
2021/11/19,26,3,89.66000130102123
2021/11/22,23,4,70.91049565803137
2021/11/23,22,5,46.082648735930846
2021/11/24,21,6,56.85640655825958
2021/11/25,20,7,60.76290272165982
2021/11/26,19,8,9.166532376870903
2021/11/29,16,9,22.63220163637447
2021/11/30,15,10,11.51468561394306
2021/12/01,14,11,10.123655640458654
2021/12/02,13,12,9.940478547878985
2021/12/03,12,13,14.663496465735541
2021/12/06,9,14,8.458787939805475
2021/12/07,8,15,23.231375020873013
2021/12/08,7,16,60.914219908404654
2021/12/09,6,17,143.00430500460473
2021/12/10,5,18,127.19373772708651
2021/12/13,2,19,34.224590869036085
2021/12/14,1,20,24.322214547181687
2021/12/16,34,2,76.2532693110123
2021/12/17,33,3,67.93764800235921
2021/12/20,30,4,15.613930510694752
2021/12/21,29,5,51.23320205889039
2021/12/22,28,6,59.70409177912966
2021/12/23,27,7,83.29225100515346
2021/12/24,26,8,94.48234698530295
2021/12/27,23,9,70.01154550920768
2021/12/28,22,10,106.25466068999206
2021/12/29,21,11,93.88613970336152
2021/12/30,20,12,97.3611834332664
2022/01/03,16,13,71.686875616166
2022/01/04,15,14,74.72361075519322
2022/01/05,14,15,84.52970143559817
2022/01/06,13,16,43.895819239283625
2022/01/07,12,17,24.055674616576052
2022/01/10,9,18,35.09469699829976
2022/01/11,8,19,37.11195111191056
2022/01/12,7,20,56.60731330061946
2022/01/13,6,21,55.23239767116899
2022/01/14,5,22,100.19804957054652
2022/01/17,2,23,22.95913739117969
2022/01/18,1,24,24.663459521751758
2022/01/20,27,2,19.57098898232508
2022/01/21,26,3,10.07934932695652
2022/01/24,23,4,10.888906879294858
2022/01/25,22,5,72.40519703527659
2022/01/26,21,6,79.44529008796717
2022/02/07,9,7,13.036587308315335
2022/02/08,8,8,38.58109663031038
2022/02/09,7,9,129.76086908672661
2022/02/10,6,10,185.05730368968682
2022/02/11,5,11,86.00721001953863
2022/02/14,2,12,103.18384117505356
2022/02/15,1,13,87.56948805860826
2022/02/17,27,2,13.450775074374091
2022/02/18,26,3,12.117878810994867
2022/02/21,23,4,10.236789563313412
2022/02/22,22,5,54.144697249047546
2022/02/23,21,6,11.54496415607029
2022/02/24,20,7,151.0708514943559
2022/02/25,19,8,57.085196040714116
2022/03/01,15,9,21.389235398079013
2022/03/02,14,10,31.26782975717165
2022/03/03,13,11,15.727574732527742
2022/03/04,12,12,113.77163371422051
2022/03/07,9,13,954.2960884500129
2022/03/08,8,14,1099.7601225589096
2022/03/09,7,15,235.28251679134195
2022/03/10,6,16,86.05911167979303
2022/03/11,5,17,119.8759370388897
2022/03/14,2,18,298.8664286857547
2022/03/15,1,19,515.9847652664301
2022/03/17,34,2,28.212129079746436
2022/03/18,33,3,23.508617550259842
2022/03/21,30,4,10.894028787225167
2022/03/22,29,5,10.541294716719644
2022/03/23,28,6,40.551470503022664
2022/03/24,27,7,30.496451348561617
2022/03/25,26,8,32.3296114456447
2022/03/28,23,9,14.353031574654088
2022/03/29,22,10,38.23640771269616
2022/03/30,21,11,59.79188574431108
2022/03/31,20,12,38.29995827763931
2022/04/01,19,13,25.637486474458544
2022/04/06,14,14,26.16183299677427
2022/04/07,13,15,17.677348511557057
2022/04/08,12,16,16.211341067220268
2022/04/11,9,17,32.56288220813145
2022/04/12,8,18,40.28463008496366
2022/04/13,7,19,23.42070671537721
2022/04/14,6,20,20.79718421142266
2022/04/15,5,21,17.841440384129108
2022/04/18,2,22,138.5259402940311
2022/04/19,1,23,42.348898333797194
2022/04/21,27,2,29.717747968333114
2022/04/22,26,3,21.521112033349635
2022/04/25,23,4,42.768866501337826
2022/04/26,22,5,15.06407928974564
2022/04/27,21,6,64.96847797820514
2022/04/28,20,7,43.63669647503767
2022/04/29,19,8,21.39498892925554
2022/05/03,15,9,73.25735181423957
2022/05/04,14,10,40.604078129404826
2022/05/05,13,11,17.59464653848651
2022/05/06,12,12,52.75927403470719
2022/05/09,9,13,230.86074166175862
2022/05/10,8,14,129.81283390601084
2022/05/11,7,15,101.1092660239197
2022/05/12,6,16,296.8123707603159
2022/05/13,5,17,26.943610457207736
2022/05/16,2,18,118.97951849738189
2022/05/17,1,19,33.31749984342043
2022/05/19,27,2,41.09663493611998
2022/05/20,26,3,16.869618584320218
2022/05/23,23,4,42.78537187058803
2022/05/24,22,5,50.585914395632514
2022/05/25,21,6,27.17880174415309
2022/05/26,20,7,34.20654442401673
2022/05/27,19,8,11.78463801263228
2022/05/30,16,9,9.342610986641532
2022/05/31,15,10,17.694487718838197
2022/06/01,14,11,11.370463403239787
2022/06/02,13,12,10.538067591569659
2022/06/06,9,13,9.716647394842333
2022/06/07,8,14,8.243274568058625
2022/06/08,7,15,15.086118077330662
2022/06/09,6,16,14.49385737458585
2022/06/10,5,17,8.144236558658903
2022/06/13,2,18,353.6786668239657
2022/06/14,1,19,265.85826910432843
2022/06/16,34,2,50.865795450431555
2022/06/17,33,3,133.35732090913226
2022/06/20,30,4,141.64411124491133
2022/06/21,29,5,51.19602082011008
2022/06/22,28,6,112.15898766320596
2022/06/23,27,7,158.0667891598304
2022/06/24,26,8,106.07590598585246
2022/06/27,23,9,72.8419187805094
2022/06/28,22,10,69.8011141593336
2022/06/29,21,11,86.59862638909277
2022/06/30,20,12,300.102339794032
2022/07/01,19,13,607.656408713023
2022/07/04,16,14,551.3810665742758
2022/07/05,15,15,523.1515667060695
2022/07/06,14,16,770.7394189639172
2022/07/07,13,17,498.557676285824
2022/07/08,12,18,406.47689326750714
2022/07/11,9,19,520.62397011278
2022/07/12,8,20,766.5090585391027
2022/07/13,7,21,450.4222102032177
2022/07/14,6,22,243.75731714004615
2022/07/15,5,23,28.20762465476097
2022/07/18,2,24,156.13372212010967
2022/07/19,1,25,155.03421570854107
2022/07/21,27,2,47.10152615164913
2022/07/22,26,3,43.98886946620487
2022/07/25,23,4,55.162871278637866
2022/07/26,22,5,62.28214142548366
2022/07/27,21,6,42.34446128114493
2022/07/28,20,7,29.939748700601708
2022/07/29,19,8,9.392223570361477
2022/08/01,16,9,37.70567035094379
2022/08/02,15,10,488.46132488521545
2022/08/03,14,11,257.46799765274886
2022/08/04,13,12,211.31211058543414
2022/08/05,12,13,32.16096849578215
2022/08/08,9,14,45.69653164094123
2022/08/09,8,15,12.059846070619496
2022/08/10,7,16,20.756132662341578
2022/08/11,6,17,41.028094022226846
2022/08/12,5,18,74.25337904143419
2022/08/15,2,19,5.766701398315412
2022/08/16,1,20,27.028764288208535
2022/08/18,34,2,23.727007126641407
2022/08/19,33,3,34.39725366799016
2022/08/22,30,4,12.772464530408236
2022/08/23,29,5,6.966775310336212
2022/08/24,28,6,8.946278057945774
2022/08/25,27,7,16.827382943404448
2022/08/26,26,8,21.06432668687086
2022/08/29,23,9,26.822720855981085
2022/08/30,22,10,10.45672190858066
2022/08/31,21,11,8.272157021479426
2022/09/01,20,12,58.176080591710736
2022/09/02,19,13,64.50635353695309
2022/09/05,16,14,71.08840461886484
2022/09/06,15,15,64.13396994965424
2022/09/07,14,16,124.63426365784886
2022/09/08,13,17,16.31492416344771
2022/09/12,9,18,18.06960813182037
2022/09/13,8,19,14.798123796454362
2022/09/14,7,20,61.02402764421776
2022/09/15,6,21,21.096816856736147
2022/09/16,5,22,15.39062019963665
2022/09/19,2,23,104.66298657410267
2022/09/20,1,24,72.5508820958034
2022/09/22,27,2,52.45264531193458
2022/09/23,26,3,34.68523457074292
2022/09/26,23,4,170.54290898991482
2022/09/27,22,5,114.7328302463865
2022/09/28,21,6,251.24884887352047
2022/09/29,20,7,173.10511791063087
2022/09/30,19,8,253.2608828070137
2022/10/03,16,9,337.82012518355225
2022/10/04,15,10,122.64697813206428
2022/10/05,14,11,58.861898523814666
2022/10/06,13,12,69.4134691504929
2022/10/07,12,13,178.7686327183142
2022/10/11,8,14,687.6091888065658
2022/10/12,7,15,641.1807695490824
2022/10/13,6,16,938.7471385307283
2022/10/14,5,17,237.8259299072812
2022/10/17,2,18,766.2801255797606
2022/10/18,1,19,706.4180328311894
2022/10/20,27,2,295.4081463456759
2022/10/21,26,3,366.5654977323148
2022/10/24,23,4,472.3552124286547
2022/10/25,22,5,546.7547090244666
2022/10/26,21,6,387.4291847068444
2022/10/27,20,7,225.04792037041202
2022/10/28,19,8,257.5581707008948
2022/10/31,16,9,258.1857074665869
2022/11/01,15,10,195.10023403863536
2022/11/02,14,11,196.84922057736856
2022/11/03,13,12,107.92322752199695
2022/11/04,12,13,77.43094273251619
2022/11/07,9,14,97.66504313375825
2022/11/08,8,15,28.217406815670422
2022/11/09,7,16,34.94734482276109
2022/11/10,6,17,75.1725091061248
2022/11/11,5,18,25.73610254850865
2022/11/14,2,19,169.98958118813425
2022/11/15,1,20,629.8457585549858
2022/11/17,34,2,75.23543846776082
2022/11/18,33,3,69.3068567170205
2022/11/21,30,4,47.099030496694255
2022/11/22,29,5,24.901869569094885
2022/11/23,28,6,23.50980736863779
2022/11/24,27,7,16.947886279702193
2022/11/25,26,8,15.285626080037293
2022/11/28,23,9,42.28376627021395
2022/11/29,22,10,34.78560269408594
2022/11/30,21,11,35.45553820123339
2022/12/01,20,12,41.25550316606263
2022/12/02,19,13,42.14863749870132
2022/12/05,16,14,60.76515453409217
2022/12/06,15,15,97.97613707375747
2022/12/07,14,16,106.83052353857748
2022/12/08,13,17,83.47939073325391
2022/12/09,12,18,49.70072517054046
2022/12/12,9,19,164.71048568505398
2022/12/13,8,20,462.7870443074354
2022/12/14,7,21,66.72373256273697
2022/12/15,6,22,8.83481628268539
2022/12/16,5,23,8.954587899656278
2022/12/19,2,24,48.894389545990705
2022/12/20,1,25,302.0436335590378
2022/12/22,39,2,14.69107175611283
2022/12/23,38,3,8.226527811389037
2022/12/26,35,4,14.742126704084958
2022/12/27,34,5,16.158040914849735
