交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,0.00015703128867394504
2021/08/09,9,14,0.0004715079049542844
2021/08/10,8,15,0.00025096353179251214
2021/08/11,7,16,0.00033753972964766703
2021/08/12,6,17,0.00042683744319636926
2021/08/13,5,18,0.0015672972454925515
2021/08/16,2,19,0.008171831339492331
2021/08/17,1,20,0.018022239547174503
2021/08/19,27,2,0.0011950402145709021
2021/08/20,26,3,0.001732790795145681
2021/08/23,23,4,0.0021767678059648014
2021/08/24,22,5,0.0004399164553831659
2021/08/25,21,6,0.0001421999164995041
2021/08/26,20,7,0.00017344391854051493
2021/08/27,19,8,0.0010158688294536946
2021/08/30,16,9,0.0003694858151062612
2021/08/31,15,10,0.000496760594507852
2021/09/01,14,11,0.00023623997444189985
2021/09/02,13,12,7.683103327029868e-05
2021/09/03,12,13,0.0011012182905207604
2021/09/06,9,14,0.0004874864842796481
2021/09/07,8,15,0.0014371389681214065
2021/09/08,7,16,0.0021390767967886452
2021/09/09,6,17,0.0018392235215813106
2021/09/10,5,18,0.0029300821609477743
2021/09/13,2,19,0.001901536863548628
2021/09/14,1,20,0.00913901493366611
2021/09/16,34,2,0.000812668903145792
2021/09/17,33,3,0.0009311097696791629
2021/09/22,28,4,0.0005735929942991052
2021/09/23,27,5,0.0003303254944950788
2021/09/24,26,6,0.00018903361022472483
2021/09/27,23,7,0.0004199527543277059
2021/09/28,22,8,0.00017313628696539332
2021/09/29,21,9,0.0009907876322650761
2021/09/30,20,10,0.00019937615782176965
2021/10/01,19,11,0.004456018808364608
2021/10/04,16,12,0.0005489545789441982
2021/10/05,15,13,0.0010077078319517293
2021/10/06,14,14,0.0006809798054491672
2021/10/07,13,15,0.0007253254725708003
2021/10/08,12,16,0.00035335218000271854
2021/10/12,8,17,0.0023429058115836676
2021/10/13,7,18,0.0009097874533444444
2021/10/14,6,19,0.0015639263565664406
2021/10/15,5,20,0.0074477378465175
2021/10/18,2,21,0.003224550835085224
2021/10/19,1,22,0.009117711919821643
2021/10/21,27,2,0.0015376113731825796
2021/10/22,26,3,0.0008650913356145913
2021/10/25,23,4,0.0002876601484926895
2021/10/26,22,5,0.0004107733076908771
2021/10/27,21,6,0.0007928256369729655
2021/10/28,20,7,0.0004260568732113453
2021/10/29,19,8,7.842214108790441e-05
2021/11/01,16,9,0.0005376086400106743
2021/11/02,15,10,9.531264185305078e-05
2021/11/03,14,11,8.56781943664639e-05
2021/11/04,13,12,0.0003798793476239573
2021/11/05,12,13,0.0006946279834275873
2021/11/08,9,14,0.0005205428848421582
2021/11/09,8,15,0.0012413261633063813
2021/11/10,7,16,0.0004363107014940445
2021/11/11,6,17,0.00016788758250226954
2021/11/12,5,18,0.0009157079534098242
2021/11/15,2,19,0.0016830997047211369
2021/11/16,1,20,0.02221034052768211
2021/11/18,27,2,0.0003743086745330118
2021/11/19,26,3,0.00036246306348892125
2021/11/22,23,4,3.7702046377719806e-05
2021/11/23,22,5,0.00015844110334434144
2021/11/24,21,6,0.00015100744363730356
2021/11/25,20,7,0.00015370138481860156
2021/11/26,19,8,0.0017228683955401616
2021/11/29,16,9,0.0020412216279435368
2021/11/30,15,10,0.00026657484777141974
2021/12/01,14,11,0.0007185439055189487
2021/12/02,13,12,0.00028772129760123744
2021/12/03,12,13,0.00071350647872595
2021/12/06,9,14,0.00020854082929598576
2021/12/07,8,15,0.00044801655220401827
2021/12/08,7,16,0.0005192501390566134
2021/12/09,6,17,0.0018254326475787939
2021/12/10,5,18,0.00021128633105741768
2021/12/13,2,19,0.007523813951579788
2021/12/14,1,20,0.018292576887574293
2021/12/16,34,2,0.0011782153599093489
2021/12/17,33,3,0.0004542957617255571
2021/12/20,30,4,0.0007443408153368588
2021/12/21,29,5,0.00039293956593341366
2021/12/22,28,6,0.00034458810105793996
2021/12/23,27,7,0.00020219221630986514
2021/12/24,26,8,0.00046873494992616166
2021/12/27,23,9,0.0007342264223006528
2021/12/28,22,10,0.00028422912393032514
2021/12/29,21,11,0.0005212399169823012
2021/12/30,20,12,5.17336399519027e-05
2022/01/03,16,13,0.00045991312508716274
2022/01/04,15,14,0.003988751223459661
2022/01/05,14,15,0.00010418896919629872
2022/01/06,13,16,0.0023229284175372874
2022/01/07,12,17,0.000980991496754893
2022/01/10,9,18,0.0004119371883881939
2022/01/11,8,19,0.0006775075066684038
2022/01/12,7,20,0.0003816566523284701
2022/01/13,6,21,0.001203030819050495
2022/01/14,5,22,0.00370932656793759
2022/01/17,2,23,0.004188231328064102
2022/01/18,1,24,0.007751258984150048
2022/01/20,27,2,0.000590401619045153
2022/01/21,26,3,0.0008997793018103477
2022/01/24,23,4,0.0009112839645205619
2022/01/25,22,5,0.001941435597610642
2022/01/26,21,6,0.0020566091693440484
2022/02/07,9,7,0.0008958594683122121
2022/02/08,8,8,0.0008941296170033673
2022/02/09,7,9,0.004371712606558735
2022/02/10,6,10,0.0004463000131729728
2022/02/11,5,11,0.005971908326552268
2022/02/14,2,12,0.007593564762778517
2022/02/15,1,13,0.005709808422905061
2022/02/17,27,2,0.0020479174192796533
2022/02/18,26,3,0.00028463684927550355
2022/02/21,23,4,0.00048341189618762487
2022/02/22,22,5,0.0007285776562239011
2022/02/23,21,6,0.0005623829864387257
2022/02/24,20,7,0.006419920147735523
2022/02/25,19,8,0.0005772802703117233
2022/03/01,15,9,0.0003985298937723655
2022/03/02,14,10,0.0004890027772321996
2022/03/03,13,11,0.0005260873961387927
2022/03/04,12,12,0.0017996837239368918
2022/03/07,9,13,0.005947131165332915
2022/03/08,8,14,0.0014656013751549
2022/03/09,7,15,0.002454813378177497
2022/03/10,6,16,0.0007323979833897647
2022/03/11,5,17,0.000445363537425758
2022/03/14,2,18,0.001744000261485134
2022/03/15,1,19,0.02079210910780392
2022/03/17,34,2,0.0017142929411492452
2022/03/18,33,3,0.0011574406681090564
2022/03/21,30,4,0.0006732865200284906
2022/03/22,29,5,0.00025588230852030883
2022/03/23,28,6,0.00043106029564164754
2022/03/24,27,7,0.0003955259712498671
2022/03/25,26,8,0.00034380998052701455
2022/03/28,23,9,0.0005827874894118161
2022/03/29,22,10,0.0004042629314667467
2022/03/30,21,11,0.0002530739085009204
2022/03/31,20,12,0.0005174447588550722
2022/04/01,19,13,0.000342663856054652
2022/04/06,14,14,0.0009140757015030327
2022/04/07,13,15,0.000840973503458491
2022/04/08,12,16,0.00043000939567703445
2022/04/11,9,17,0.000880882561406028
2022/04/12,8,18,0.0010329079122628165
2022/04/13,7,19,0.0008695495266750361
2022/04/14,6,20,0.0018627504463033034
2022/04/15,5,21,0.0008098643918680078
2022/04/18,2,22,0.004032033866102807
2022/04/19,1,23,0.03704953239268667
2022/04/21,27,2,0.0006833067891743251
2022/04/22,26,3,0.0004560617512655931
2022/04/25,23,4,0.0011223171223732414
2022/04/26,22,5,0.0007348389330297328
2022/04/27,21,6,0.0007536099373042472
2022/04/28,20,7,0.0011295236958448543
2022/04/29,19,8,0.0015637919285396214
2022/05/03,15,9,0.001139110801517875
2022/05/04,14,10,0.0006281160456212086
2022/05/05,13,11,0.0007804199739458633
2022/05/06,12,12,0.0009273667874544872
2022/05/09,9,13,0.0025992285121670005
2022/05/10,8,14,0.0013515430834265616
2022/05/11,7,15,0.0019409599609315528
2022/05/12,6,16,0.0034309810617386377
2022/05/13,5,17,0.0023143891613265286
2022/05/16,2,18,0.0032473565858739868
2022/05/17,1,19,0.02599105221279017
2022/05/19,27,2,0.0009971478011780474
2022/05/20,26,3,0.0005203975554143049
2022/05/23,23,4,0.0007197022570637971
2022/05/24,22,5,0.0006288647199841223
2022/05/25,21,6,0.00044310023294967174
2022/05/26,20,7,0.00022217096686307086
2022/05/27,19,8,0.0008112873110067396
2022/05/30,16,9,0.0008701588826397472
2022/05/31,15,10,0.00015952150218573192
2022/06/01,14,11,0.00015832011915757561
2022/06/02,13,12,0.0005166906028503111
2022/06/06,9,13,0.00014773840252930732
2022/06/07,8,14,0.0005277622881328048
2022/06/08,7,15,0.0014410023551898192
2022/06/09,6,16,0.000527802448897478
2022/06/10,5,17,0.0006724708950563226
2022/06/13,2,18,0.0204954310455169
2022/06/14,1,19,0.04315269324858933
2022/06/16,34,2,0.000709488206640278
2022/06/17,33,3,0.0006438572491502966
2022/06/20,30,4,0.000864994188289346
2022/06/21,29,5,0.00020392436676423164
2022/06/22,28,6,0.0001838893088542433
2022/06/23,27,7,0.0003164085007230415
2022/06/24,26,8,0.0007158732540811632
2022/06/27,23,9,0.00034925172571612334
2022/06/28,22,10,0.0010571402236505404
2022/06/29,21,11,0.0003373517851441508
2022/06/30,20,12,0.0008619074377783084
2022/07/01,19,13,0.0008516881748935679
2022/07/04,16,14,0.00035308908301865614
2022/07/05,15,15,0.0010969485061115521
2022/07/06,14,16,0.0017378733281653799
2022/07/07,13,17,0.00046107932313990983
2022/07/08,12,18,0.0005980164288098292
2022/07/11,9,19,0.00035045933729806173
2022/07/12,8,20,0.003600740887362146
2022/07/13,7,21,0.0024006775906795746
2022/07/14,6,22,0.0005651086063870799
2022/07/15,5,23,0.0004543344432122379
2022/07/18,2,24,0.004173794304848223
2022/07/19,1,25,0.018294487857141058
2022/07/21,27,2,0.001452266103184081
2022/07/22,26,3,0.0003780469361185218
2022/07/25,23,4,0.00039159598808611066
2022/07/26,22,5,0.0004089285795946
2022/07/27,21,6,0.0002711179512762113
