交易日期,到期天數,上市天數(交易日),model1
2021/08/09,9,14,0.0004444287576824865
2021/08/10,8,15,0.0004309462556268304
2021/08/11,7,16,0.0004991010043424925
2021/08/12,6,17,0.0006474451208761767
2021/08/13,5,18,0.0028145850364003256
2021/08/16,2,19,0.01070812305698074
2021/08/17,1,20,0.042130489143419124
2021/08/19,27,2,0.004397496036326108
2021/08/20,26,3,0.0029623195086602916
2021/08/23,23,4,0.0013503656513719718
2021/08/24,22,5,0.00038248344075601657
2021/08/25,21,6,0.00025915918081041456
2021/08/26,20,7,0.000346676294098368
2021/08/27,19,8,0.0011060614593154082
2021/08/30,16,9,0.00033734059209468485
2021/08/31,15,10,0.0003218762584233174
2021/09/01,14,11,0.0003008198166727806
2021/09/02,13,12,0.00023756335913334504
2021/09/03,12,13,0.0007990298448845172
2021/09/06,9,14,0.0008716193738260832
2021/09/07,8,15,0.001284808079403255
2021/09/08,7,16,0.0023167659911426356
2021/09/09,6,17,0.0032035205089988787
2021/09/10,5,18,0.0014417521588338802
2021/09/13,2,19,0.004244608019689261
2021/09/14,1,20,0.006476504765413987
2021/09/16,34,2,0.0016014215980984729
2021/09/17,33,3,0.0009577745632128675
2021/09/22,28,4,0.0011231008054798629
2021/09/23,27,5,0.0002865204565780427
2021/09/24,26,6,0.00025605361307005534
2021/09/27,23,7,0.000705246087526265
2021/09/28,22,8,0.0001821635404796744
2021/09/29,21,9,0.0013004549217921018
2021/09/30,20,10,0.00014257747005319536
2021/10/01,19,11,0.004615322996974052
2021/10/04,16,12,0.000492030474463142
2021/10/05,15,13,0.0008971037382948877
2021/10/06,14,14,0.0005617225186597208
2021/10/07,13,15,0.0003827858837614947
2021/10/08,12,16,0.00037212007647277867
2021/10/12,8,17,0.001914945374378189
2021/10/13,7,18,0.0005872187295561727
2021/10/14,6,19,0.0013727418672962943
2021/10/15,5,20,0.007351360523327118
2021/10/18,2,21,0.004131727781522751
2021/10/19,1,22,0.006418592174168316
2021/10/21,27,2,0.0024091636841741975
2021/10/22,26,3,0.0017081736533001823
2021/10/25,23,4,0.001032940291509947
2021/10/26,22,5,0.0010853035898429216
2021/10/27,21,6,0.0018119253039561459
2021/10/28,20,7,0.0009461004976535665
2021/10/29,19,8,0.00014865693537376954
2021/11/01,16,9,0.0009657048070036619
2021/11/02,15,10,0.00015197502860493433
2021/11/03,14,11,0.00011953320813682789
2021/11/04,13,12,0.00042913391133380735
2021/11/05,12,13,0.0005899471463919639
2021/11/08,9,14,0.0006575657705419672
2021/11/09,8,15,0.001432358585921543
2021/11/10,7,16,0.000614388639607626
2021/11/11,6,17,0.0003180203050926768
2021/11/12,5,18,0.0007421655603063218
2021/11/15,2,19,0.0010163521562762345
2021/11/16,1,20,0.016725112164227993
2021/11/18,27,2,0.0006095146009836637
2021/11/19,26,3,0.000299923138709282
2021/11/22,23,4,0.00015709281108455714
2021/11/23,22,5,0.0002989103094664524
2021/11/24,21,6,0.00023855016873496504
2021/11/25,20,7,0.00018178606016985922
2021/11/26,19,8,0.0025757233489080286
2021/11/29,16,9,0.003323225199134694
2021/11/30,15,10,0.0006296886433311102
2021/12/01,14,11,0.0002461148546722744
2021/12/02,13,12,0.00026193147366433114
2021/12/03,12,13,0.000310300058062622
2021/12/06,9,14,0.00017091072669450741
2021/12/07,8,15,0.0005663005344632388
2021/12/08,7,16,0.0005550385445503159
2021/12/09,6,17,0.0016087020611154545
2021/12/10,5,18,0.0008499296717564608
2021/12/13,2,19,0.00464065676956535
2021/12/14,1,20,0.003596895235751455
2021/12/16,34,2,0.0007573985721512805
2021/12/17,33,3,0.00048622710949859996
2021/12/20,30,4,0.0006194885892579804
2021/12/21,29,5,0.0004665902860108115
2021/12/22,28,6,0.00045720914378574593
2021/12/23,27,7,0.0005177595325219749
2021/12/24,26,8,0.000612722855990714
2021/12/27,23,9,0.0008977760260731067
2021/12/28,22,10,0.00034491235923673466
2021/12/29,21,11,0.0005384736888784154
2021/12/30,20,12,0.00011351762375792138
2022/01/03,16,13,0.0005093619503602727
2022/01/04,15,14,0.00386491246310535
2022/01/05,14,15,0.00033605274763167753
2022/01/06,13,16,0.0021180153870547043
2022/01/07,12,17,0.0016854084388852476
2022/01/10,9,18,0.0001951679075895749
2022/01/11,8,19,0.0004188366686281939
2022/01/12,7,20,0.0011597629173568426
2022/01/13,6,21,0.0007689012584073424
2022/01/14,5,22,0.0014880298794324
2022/01/17,2,23,0.0018602132065845608
2022/01/18,1,24,0.006801535520003487
2022/01/20,27,2,0.0019375759611828596
2022/01/21,26,3,0.002211571054196506
2022/01/24,23,4,0.0014785679254834278
2022/01/25,22,5,0.0016409711666205405
2022/01/26,21,6,0.001655403761846803
2022/02/07,9,7,0.000961335149992751
2022/02/08,8,8,0.0005732790538674681
2022/02/09,7,9,0.0038219357089855177
2022/02/10,6,10,0.0004398542752824922
2022/02/11,5,11,0.009549585749812703
2022/02/14,2,12,0.015789368592209436
2022/02/15,1,13,0.0103705502702092
2022/02/17,27,2,0.0022217259031885313
2022/02/18,26,3,0.0003299742835591812
2022/02/21,23,4,0.0004543305786812196
2022/02/22,22,5,0.0005718477582877639
2022/02/23,21,6,0.0005791409795745358
2022/02/24,20,7,0.004905717019929156
2022/02/25,19,8,0.00042825099246249053
2022/03/01,15,9,0.0001318498440161248
2022/03/02,14,10,0.0002850199494283823
2022/03/03,13,11,0.0004745460249814665
2022/03/04,12,12,0.0014228609518750336
2022/03/07,9,13,0.00681793941740454
2022/03/08,8,14,0.0008546098210846596
2022/03/09,7,15,0.0017766907469665039
2022/03/10,6,16,0.00044830778528691633
2022/03/11,5,17,0.0003175053129278886
2022/03/14,2,18,0.0016238408985761999
2022/03/15,1,19,0.02382807262382116
2022/03/17,34,2,0.0023332337650334113
2022/03/18,33,3,0.0020767401651332873
2022/03/21,30,4,0.00137382179698609
2022/03/22,29,5,0.00040255473727768157
2022/03/23,28,6,0.0016712754000076649
2022/03/24,27,7,0.0012099589407903737
2022/03/25,26,8,0.0005698480675318899
2022/03/28,23,9,0.0005652976587820201
2022/03/29,22,10,0.0007073440094117527
2022/03/30,21,11,0.00042669207411804926
2022/03/31,20,12,0.0008878716154813387
2022/04/01,19,13,0.0003309455969074481
2022/04/06,14,14,0.00032806972329443905
2022/04/07,13,15,0.00043019426821810274
2022/04/08,12,16,0.00020145036637733542
2022/04/11,9,17,0.0006316041071239458
2022/04/12,8,18,0.0009112466385341738
2022/04/13,7,19,0.0010421942256808492
2022/04/14,6,20,0.0007221931730244994
2022/04/15,5,21,0.0006218911815151911
2022/04/18,2,22,0.004222681275944493
2022/04/19,1,23,0.03826772645847981
2022/04/21,27,2,0.0008886666306581958
2022/04/22,26,3,0.00047223697020565953
2022/04/25,23,4,0.0009052228977229019
2022/04/26,22,5,0.0004550533171810916
2022/04/27,21,6,0.00040817265540352685
2022/04/28,20,7,0.000519384491666297
