交易日期,到期天數,上市天數(交易日),model1
2021/08/12,6,17,0.00034558607008989346
2021/08/13,5,18,0.0023518708441059005
2021/08/16,2,19,0.010527590585220903
2021/08/17,1,20,0.02164503883453089
2021/08/19,27,2,0.0019033108320380663
2021/08/20,26,3,0.0016803023721403943
2021/08/23,23,4,0.0017388931488333183
2021/08/24,22,5,0.0006018077749590692
2021/08/25,21,6,0.0006821459743869044
2021/08/26,20,7,0.0006360912236752568
2021/08/27,19,8,0.0018572643182551375
2021/08/30,16,9,0.0009274724207795571
2021/08/31,15,10,0.0008738539467821386
2021/09/01,14,11,0.0004628249459829035
2021/09/02,13,12,0.00012118364801747216
2021/09/03,12,13,0.0013395915950148397
2021/09/06,9,14,0.00024958222535667975
2021/09/07,8,15,0.0014624045357858044
2021/09/08,7,16,0.002394245489024479
2021/09/09,6,17,0.002653881986932082
2021/09/10,5,18,0.0030445385513339493
2021/09/13,2,19,0.0031365457360857285
2021/09/14,1,20,0.007284048332493316
2021/09/16,34,2,0.0004210065277644207
2021/09/17,33,3,0.0007749895704648933
2021/09/22,28,4,0.0005359465113091333
2021/09/23,27,5,0.0002513351826265129
2021/09/24,26,6,0.00026564669323579735
2021/09/27,23,7,0.00063554060653607
2021/09/28,22,8,0.00010142688043945371
2021/09/29,21,9,0.0007903199075479164
2021/09/30,20,10,0.000142049781700238
2021/10/01,19,11,0.0037118460392760225
2021/10/04,16,12,0.0005877709885354914
2021/10/05,15,13,0.0010415256296842314
2021/10/06,14,14,0.0006382795289750008
2021/10/07,13,15,0.000551550711694544
2021/10/08,12,16,0.0004457310393952168
2021/10/12,8,17,0.0015677572522091695
2021/10/13,7,18,0.0007291043019090899
2021/10/14,6,19,0.0015828324684501976
2021/10/15,5,20,0.006470034636470542
2021/10/18,2,21,0.005905923061665541
2021/10/19,1,22,0.010584010807755385
2021/10/21,27,2,0.0011868309442083869
2021/10/22,26,3,0.000700345528326257
2021/10/25,23,4,0.00047764593295183526
2021/10/26,22,5,0.0007550961346784002
2021/10/27,21,6,0.0013034222607429108
2021/10/28,20,7,0.0008216524960169846
2021/10/29,19,8,0.00010367113473236131
2021/11/01,16,9,0.0007917638262241477
2021/11/02,15,10,0.00021065140240637497
2021/11/03,14,11,9.40690341946641e-05
2021/11/04,13,12,0.0003904934076029868
2021/11/05,12,13,0.0006737520944040668
2021/11/08,9,14,0.0009177518433256505
2021/11/09,8,15,0.0013334802729175089
2021/11/10,7,16,0.00028554797606167315
2021/11/11,6,17,0.00020731298111885136
2021/11/12,5,18,0.0010723376727147366
2021/11/15,2,19,0.0012516034876138135
2021/11/16,1,20,0.019868732388518436
2021/11/18,27,2,0.0002114394402599608
2021/11/19,26,3,0.00017473561543221132
2021/11/22,23,4,4.3278968424800775e-05
2021/11/23,22,5,0.00018734032834929822
2021/11/24,21,6,0.00019082247627595148
2021/11/25,20,7,0.0001796389391160369
2021/11/26,19,8,0.0018974263655968373
2021/11/29,16,9,0.002506563893373289
2021/11/30,15,10,0.00030979615056170236
2021/12/01,14,11,0.0006536270869819348
2021/12/02,13,12,0.00030005404312011947
2021/12/03,12,13,0.0006301689130140565
2021/12/06,9,14,0.00041188677688406677
2021/12/07,8,15,0.0006932113462626528
2021/12/08,7,16,0.0006859079261598287
2021/12/09,6,17,0.0017448573650083712
2021/12/10,5,18,0.00023431860385719316
2021/12/13,2,19,0.0069419586320869815
2021/12/14,1,20,0.019172439470418957
2021/12/16,34,2,0.0004738268446016062
2021/12/17,33,3,0.0004527029102378822
2021/12/20,30,4,0.0007426063679595784
2021/12/21,29,5,0.00041583034057156645
2021/12/22,28,6,0.00030913272488937405
2021/12/23,27,7,0.0005459959374835295
2021/12/24,26,8,0.0007701057521703987
2021/12/27,23,9,0.0012975591665143236
2021/12/28,22,10,0.0007753578371623613
2021/12/29,21,11,0.0009372318597325351
2021/12/30,20,12,0.00010786883049847136
2022/01/03,16,13,0.0004890812023883792
2022/01/04,15,14,0.00452188071503754
2022/01/05,14,15,0.00017176765743874466
2022/01/06,13,16,0.0021430222935451583
2022/01/07,12,17,0.0015105644994868855
2022/01/10,9,18,0.0002839680451146232
2022/01/11,8,19,0.0004418221217361822
2022/01/12,7,20,0.0004890313092665999
2022/01/13,6,21,0.000859508707652926
2022/01/14,5,22,0.003218513682301783
