交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,99.41346984080513
2021/08/09,9,14,57.2249200557475
2021/08/10,8,15,57.43293471005392
2021/08/11,7,16,66.44036586189912
2021/08/12,6,17,93.23445976787005
2021/08/13,5,18,76.0039445570175
2021/08/16,2,19,53.42005325439678
2021/08/17,1,20,183.5589780127376
2021/08/19,27,2,24.1343313364623
2021/08/20,26,3,77.76283843490371
2021/08/23,23,4,11.674678201309392
2021/08/24,22,5,24.159558957051967
2021/08/25,21,6,42.58653080715411
2021/08/26,20,7,30.300209104398792
2021/08/27,19,8,51.01591539136927
2021/08/30,16,9,66.576457530626
2021/08/31,15,10,61.395905312426734
2021/09/01,14,11,80.0655584565861
2021/09/02,13,12,63.44802532642749
2021/09/03,12,13,72.79527802582925
2021/09/06,9,14,78.44435134624445
2021/09/07,8,15,61.69206745619951
2021/09/08,7,16,44.44040938849783
2021/09/09,6,17,49.27427428778213
2021/09/10,5,18,160.72902865013435
2021/09/13,2,19,28.31537543584953
2021/09/14,1,20,37.086934673579826
2021/09/16,34,2,92.09478865903257
2021/09/17,33,3,109.18663335736585
2021/09/22,28,4,11.674815472013627
2021/09/23,27,5,45.208337303236334
2021/09/24,26,6,74.22576276245337
2021/09/27,23,7,66.23211290040848
2021/09/28,22,8,37.08506515225123
2021/09/29,21,9,14.035903058445824
2021/09/30,20,10,15.26874975430266
2021/10/01,19,11,43.16525559091238
2021/10/04,16,12,89.66194566459805
2021/10/05,15,13,91.64828132185033
2021/10/06,14,14,78.32192988371521
2021/10/07,13,15,25.376499041236244
2021/10/08,12,16,25.116765239472663
2021/10/12,8,17,99.9837095070674
2021/10/13,7,18,52.259649613059736
2021/10/14,6,19,20.2114334825069
2021/10/15,5,20,107.67603161740264
2021/10/18,2,21,15.96572264947289
2021/10/19,1,22,10.836755966383421
2021/10/21,27,2,51.117930761674124
2021/10/22,26,3,53.85064443429386
2021/10/25,23,4,44.6770499843177
2021/10/26,22,5,69.08302022505725
2021/10/27,21,6,119.08553775598774
2021/10/28,20,7,127.61756627126759
2021/10/29,19,8,91.45512632480434
2021/11/01,16,9,95.78846498198516
2021/11/02,15,10,92.41274597625801
2021/11/03,14,11,117.61877373963841
2021/11/04,13,12,140.71962387812397
2021/11/05,12,13,163.63243660205157
2021/11/08,9,14,189.6473397429481
2021/11/09,8,15,203.50584245495014
2021/11/10,7,16,243.397806791054
2021/11/11,6,17,253.69714496431143
2021/11/12,5,18,321.8718458944716
2021/11/15,2,19,138.8806835467493
2021/11/16,1,20,138.39862666346306
2021/11/18,27,2,257.0199323886152
2021/11/19,26,3,243.64449761674214
2021/11/22,23,4,211.38428548314494
2021/11/23,22,5,164.86512168507954
2021/11/24,21,6,185.36804980305902
2021/11/25,20,7,192.99395041500625
2021/11/26,19,8,57.314264051046386
2021/11/29,16,9,21.518739995231606
2021/11/30,15,10,37.45151096733737
2021/12/01,14,11,70.14623836856777
2021/12/02,13,12,63.48008835372919
2021/12/03,12,13,86.57877264085724
2021/12/06,9,14,39.588652193943915
2021/12/07,8,15,114.34612279887713
2021/12/08,7,16,192.74057508053278
2021/12/09,6,17,328.4173230208041
2021/12/10,5,18,303.8259314689107
2021/12/13,2,19,143.73494909788002
2021/12/14,1,20,43.373786820465476
2021/12/16,34,2,219.98088894139272
2021/12/17,33,3,204.20569313349986
2021/12/20,30,4,88.15548611438831
2021/12/21,29,5,173.72303027590095
2021/12/22,28,6,189.27184873437497
2021/12/23,27,7,232.0389239621136
2021/12/24,26,8,250.99950632384656
2021/12/27,23,9,209.80408677896187
2021/12/28,22,10,271.01505642678495
2021/12/29,21,11,250.82879677010536
2021/12/30,20,12,256.6131931344773
2022/01/03,16,13,213.1988390625612
2022/01/04,15,14,218.56021776756228
2022/01/05,14,15,235.79781122190244
2022/01/06,13,16,161.19565303244246
2022/01/07,12,17,117.04247836871113
2022/01/10,9,18,144.06557389567652
2022/01/11,8,19,149.1361331377554
2022/01/12,7,20,186.11084632831566
2022/01/13,6,21,184.15796677018363
2022/01/14,5,22,262.5887202393039
2022/01/17,2,23,116.11753091691813
2022/01/18,1,24,50.52985534435512
2022/01/20,27,2,101.82186634052087
2022/01/21,26,3,40.30321291752489
2022/01/24,23,4,49.359645914209004
2022/01/25,22,5,17.64810618186693
2022/01/26,21,6,21.135520478254
2022/02/07,9,7,58.29749109380953
2022/02/08,8,8,145.7114153110106
2022/02/09,7,9,307.3499198709212
2022/02/10,6,10,389.5783108603916
2022/02/11,5,11,231.08477783097646
2022/02/14,2,12,25.538557431488815
2022/02/15,1,13,13.996343227991687
2022/02/17,27,2,73.06980727516496
2022/02/18,26,3,70.85226185720892
2022/02/21,23,4,52.955393080982354
2022/02/22,22,5,13.777504716367947
2022/02/23,21,6,62.148986166135174
2022/02/24,20,7,51.09747426852616
2022/02/25,19,8,16.094225551702625
2022/03/01,15,9,26.965376125431423
2022/03/02,14,10,21.152949134693895
2022/03/03,13,11,34.85386487045154
2022/03/04,12,12,32.12127836829484
2022/03/07,9,13,617.7188604409436
2022/03/08,8,14,733.3342189146316
2022/03/09,7,15,94.64339336264337
2022/03/10,6,16,23.03950062136791
2022/03/11,5,17,31.535278767544128
2022/03/14,2,18,128.92423123886357
2022/03/15,1,19,277.50577496463274
2022/03/17,34,2,15.778828515872407
2022/03/18,33,3,18.558556805379766
2022/03/21,30,4,37.607552633229126
2022/03/22,29,5,65.73254938781508
2022/03/23,28,6,151.22413296673028
2022/03/24,27,7,129.16416349827534
2022/03/25,26,8,132.0911611602768
2022/03/28,23,9,79.93729792695942
2022/03/29,22,10,145.7345072243333
2022/03/30,21,11,188.54966077254622
2022/03/31,20,12,145.8942726629758
2022/04/01,19,13,116.18071575423123
2022/04/06,14,14,114.99416044838942
2022/04/07,13,15,29.25205088541922
2022/04/08,12,16,79.31169726757734
2022/04/11,9,17,18.432717718848668
2022/04/12,8,18,14.433536558113781
2022/04/13,7,19,107.15987223676791
2022/04/14,6,20,100.09295237824821
2022/04/15,5,21,88.57848111278838
2022/04/18,2,22,39.09511265291495
2022/04/19,1,23,8.011931361275643
2022/04/21,27,2,124.34254812373796
2022/04/22,26,3,102.57079102848982
2022/04/25,23,4,16.437556166848687
2022/04/26,22,5,35.55340402887529
2022/04/27,21,6,15.963206278775443
2022/04/28,20,7,17.231622811725583
2022/04/29,19,8,31.399467984232864
2022/05/03,15,9,18.9053699650858
2022/05/04,14,10,14.600254431976834
2022/05/05,13,11,91.89582751480468
2022/05/06,12,12,15.925063657629156
2022/05/09,9,13,91.24613515862752
2022/05/10,8,14,36.65892857995435
2022/05/11,7,15,28.05923192088053
2022/05/12,6,16,131.06917216492423
2022/05/13,5,17,16.838958096386303
2022/05/16,2,18,28.82951981478355
2022/05/17,1,19,8.414620208666676
2022/05/19,27,2,14.24119776076046
2022/05/20,26,3,27.60636786841981
2022/05/23,23,4,14.012983592769933
2022/05/24,22,5,12.908649507355832
2022/05/25,21,6,18.132177177483808
2022/05/26,20,7,12.15146988037454
2022/05/27,19,8,34.50703934125546
2022/05/30,16,9,61.72834383658439
2022/05/31,15,10,96.99037182219331
2022/06/01,14,11,71.3578666280084
2022/06/02,13,12,72.34433751108844
2022/06/06,9,13,65.41319932973833
2022/06/07,8,14,60.25127403844277
2022/06/08,7,15,87.62636351446262
2022/06/09,6,16,88.9567674965385
2022/06/10,5,17,66.06569968087129
2022/06/13,2,18,166.82546561234216
2022/06/14,1,19,105.573268934818
2022/06/16,34,2,10.136720976995834
2022/06/17,33,3,36.18092356470981
2022/06/20,30,4,40.283261021500174
2022/06/21,29,5,10.126098787061
2022/06/22,28,6,26.24650525506864
2022/06/23,27,7,47.08609447028892
2022/06/24,26,8,24.008715773624083
2022/06/27,23,9,13.382458836590082
2022/06/28,22,10,13.316067024974014
2022/06/29,21,11,17.325315861728654
2022/06/30,20,12,129.94944690593726
2022/07/01,19,13,346.9454284833354
2022/07/04,16,14,304.0670776659225
2022/07/05,15,15,284.00436807487034
2022/07/06,14,16,470.9340887379519
2022/07/07,13,17,265.6452416562737
2022/07/08,12,18,200.67425879538882
2022/07/11,9,19,281.07585572819437
2022/07/12,8,20,466.26807479868813
2022/07/13,7,21,232.30395768468222
2022/07/14,6,22,94.47758157544415
2022/07/15,5,23,8.461256201325245
2022/07/18,2,24,42.44132908182872
2022/07/19,1,25,44.319013751565116
2022/07/21,27,2,10.233620058547153
2022/07/22,26,3,9.353081963276617
2022/07/25,23,4,10.484774961995209
2022/07/26,22,5,11.388288553556462
2022/07/27,21,6,9.364493258403334
2022/07/28,20,7,13.553694037838945
2022/07/29,19,8,31.74556685062679
2022/08/01,16,9,13.707629006348267
2022/08/02,15,10,261.0879885497202
2022/08/03,14,11,106.10370108932469
2022/08/04,13,12,78.79375347093516
2022/08/05,12,13,16.25257515988882
2022/08/08,9,14,14.30225811083674
2022/08/09,8,15,34.94478960925148
2022/08/10,7,16,27.41896970222894
2022/08/11,6,17,157.33881801885605
2022/08/12,5,18,219.40924621623418
2022/08/15,2,19,69.2385142952302
2022/08/16,1,20,81.4102425404847
2022/08/18,34,2,114.60339966486723
2022/08/19,33,3,138.5409739713896
2022/08/22,30,4,79.84395686170542
2022/08/23,29,5,52.53318347401682
2022/08/24,28,6,59.17118745900398
2022/08/25,27,7,93.87935314875554
2022/08/26,26,8,105.82187564739317
