交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,0.00024297043555792736
2021/08/09,9,14,0.0004961498235178525
2021/08/10,8,15,0.00020534165106272063
2021/08/11,7,16,0.000389694824789237
2021/08/12,6,17,0.0006929265960999816
2021/08/13,5,18,0.0021941352409908287
2021/08/16,2,19,0.026143507355907532
2021/08/17,1,20,0.05803110094644212
2021/08/19,27,2,0.00013866592920067493
2021/08/20,26,3,0.0004181158442353611
2021/08/23,23,4,0.0024754847765472376
2021/08/24,22,5,0.00038486524282327984
2021/08/25,21,6,0.000126828558107096
2021/08/26,20,7,0.0006350799195071041
2021/08/27,19,8,0.00014163320023693432
2021/08/30,16,9,0.0004382544674826995
2021/08/31,15,10,0.0005124642316983713
2021/09/01,14,11,0.0004587051502505408
2021/09/02,13,12,0.0005564242060737515
2021/09/03,12,13,0.0004966946256341478
2021/09/06,9,14,0.0008325530579627566
2021/09/07,8,15,0.0005566904385307621
2021/09/08,7,16,0.0021666281696795025
2021/09/09,6,17,0.004785768774363478
2021/09/10,5,18,0.0005965139471865535
2021/09/13,2,19,0.007490568430635332
2021/09/14,1,20,0.02257744647764288
2021/09/16,34,2,0.0006441220274280932
2021/09/17,33,3,9.788566099402783e-05
2021/09/22,28,4,0.0008994937126367639
2021/09/23,27,5,0.0004780344935825303
2021/09/24,26,6,9.748422988131242e-05
2021/09/27,23,7,0.0001548114075515708
2021/09/28,22,8,0.0002087598229903701
2021/09/29,21,9,0.00010822590883311748
2021/09/30,20,10,0.00014713384865342155
2021/10/01,19,11,0.002457458268107958
2021/10/04,16,12,0.000607236851112952
2021/10/05,15,13,0.000736830243827891
2021/10/06,14,14,0.00022178039596619
2021/10/07,13,15,0.0003641648547012618
2021/10/08,12,16,0.00030893879060377345
2021/10/12,8,17,0.001168405298412375
2021/10/13,7,18,0.00042052768387893565
2021/10/14,6,19,0.0010368650185178401
2021/10/15,5,20,0.0009576926143456346
2021/10/18,2,21,0.012643599143613503
2021/10/19,1,22,0.025070015661799405
2021/10/21,27,2,0.0011321173858991028
2021/10/22,26,3,0.0003892957753214111
2021/10/25,23,4,0.00021322606420440604
2021/10/26,22,5,0.00010835592389880839
2021/10/27,21,6,2.6389278254461154e-05
2021/10/28,20,7,3.3798269743334e-05
2021/10/29,19,8,0.0004828467926943607
2021/11/01,16,9,0.00020720008414170776
2021/11/02,15,10,0.0005406559447973339
2021/11/03,14,11,8.40845103860741e-05
2021/11/04,13,12,0.00013720576407266026
2021/11/05,12,13,0.00017580103781004964
2021/11/08,9,14,0.0014361711410413648
2021/11/09,8,15,0.0005836116577783764
2021/11/10,7,16,0.001289687987709116
2021/11/11,6,17,0.0014405517278130381
2021/11/12,5,18,0.0017600670848119417
2021/11/15,2,19,0.004806722334996169
2021/11/16,1,20,0.03180972324312651
2021/11/18,27,2,0.00045494728667367
2021/11/19,26,3,0.00019819320972354503
2021/11/22,23,4,0.0003673591180381199
2021/11/23,22,5,0.00037828955176647753
2021/11/24,21,6,7.456847948385362e-05
2021/11/25,20,7,0.000153567567621286
2021/11/26,19,8,0.0015224518804943302
2021/11/29,16,9,0.0008623826569055028
2021/11/30,15,10,9.858432028208853e-05
2021/12/01,14,11,0.0006684256445107805
2021/12/02,13,12,0.0007954476472867333
2021/12/03,12,13,0.00018063715814952306
2021/12/06,9,14,0.0002587211636183659
2021/12/07,8,15,0.00047446928388531005
2021/12/08,7,16,0.0009264644680842758
