交易日期,到期天數,model1
2021/08/06,12,1.0151618525265926
2021/08/09,9,1.74305955976597
2021/08/10,8,0.5540344955766411
2021/08/11,7,1.2313849603914977
2021/08/12,6,1.8090213803616075
2021/08/13,5,3.6804273800161993
2021/08/16,2,19.540240828257502
2021/08/17,1,15.310313563257745
2021/08/19,27,0.7037069571255068
2021/08/20,26,1.4688213950839266
2021/08/23,23,17.963875371148585
2021/08/24,22,2.4482284413540074
2021/08/25,21,0.6956683353398692
2021/08/26,20,4.242787768537165
2021/08/27,19,0.9935528848807024
2021/08/30,16,3.100312771335542
2021/08/31,15,3.5533648234365542
2021/09/01,14,3.5746951101468327
2021/09/02,13,3.6344867311281845
2021/09/03,12,4.057841938346838
2021/09/06,9,4.3672059924444415
2021/09/07,8,3.5073140832792937
2021/09/08,7,7.749249907755876
2021/09/09,6,12.44457741732504
2021/09/10,5,2.0165011973308906
2021/09/13,2,11.640558912877013
2021/09/14,1,16.353079591817977
2021/09/16,34,5.355068977652783
2021/09/17,33,0.8677926483902116
2021/09/22,28,5.776294549248821
2021/09/23,27,2.8874143462971045
2021/09/24,26,0.6972489584103619
2021/09/27,23,1.2217591928567701
2021/09/28,22,1.1314011489257523
2021/09/29,21,0.5160329361105838
2021/09/30,20,0.6539504456439222
2021/10/01,19,5.993192753254841
2021/10/04,16,1.4659652469133841
2021/10/05,15,2.4925591272580103
2021/10/06,14,0.6445485336040907
2021/10/07,13,1.1536655673861993
2021/10/08,12,1.0342992320944726
2021/10/12,8,2.241782972639386
2021/10/13,7,0.9268273823413951
2021/10/14,6,3.129094202743557
2021/10/15,5,3.5196858138936205
2021/10/18,2,15.907634649533849
2021/10/19,1,18.55460848514459
2021/10/21,27,12.722801293632683
2021/10/22,26,4.899584797450963
2021/10/25,23,3.1300018782682715
2021/10/26,22,1.7014435788868412
2021/10/27,21,0.4538652849105692
2021/10/28,20,0.619612713577222
2021/10/29,19,5.201068946994747
2021/11/01,16,2.712585054211717
2021/11/02,15,4.66066327931186
2021/11/03,14,0.8464643769025597
2021/11/04,13,1.3605731150151634
2021/11/05,12,2.0702106192985195
2021/11/08,9,21.72569438469571
2021/11/09,8,5.020075831979802
2021/11/10,7,9.069440634742726
2021/11/11,6,8.243331399066355
2021/11/12,5,8.886458685799841
2021/11/15,2,13.33682526178032
2021/11/16,1,21.434449245886846
2021/11/18,27,7.381818534698933
2021/11/19,26,2.6905021581754154
2021/11/22,23,5.606780935302003
2021/11/23,22,3.679591201663043
2021/11/24,21,0.8299310376920088
2021/11/25,20,1.5766700894818602
2021/11/26,19,7.930323593594232
2021/11/29,16,3.391929742885405
2021/11/30,15,0.4465764946132691
2021/12/01,14,4.035754467661939
2021/12/02,13,4.750292450855556
2021/12/03,12,1.0378574059143006
2021/12/06,9,1.2098123156108103
2021/12/07,8,2.710073331756069
2021/12/08,7,4.167484626720727
2021/12/09,6,4.501594932210496
2021/12/10,5,3.9154820385476543
2021/12/13,2,21.911679692285826
2021/12/14,1,12.417566225034012
2021/12/16,34,2.269452201876589
2021/12/17,33,1.5624232409893333
2021/12/20,30,2.4287536509534116
2021/12/21,29,0.607882344444548
2021/12/22,28,2.005137644846662
2021/12/23,27,1.5825931722419107
2021/12/24,26,7.831786309099077
2021/12/27,23,3.727887048105438
2021/12/28,22,4.834869251544811
2021/12/29,21,5.573531977150259
2021/12/30,20,1.8030740709516868
2022/01/03,16,0.7557067935984174
2022/01/04,15,102.73480460754881
2022/01/05,14,15.07050569028929
2022/01/06,13,21.796355790482494
2022/01/07,12,6.655691966960567
2022/01/10,9,1.665792802435997
2022/01/11,8,8.004920372979552
2022/01/12,7,25.97511378351833
2022/01/13,6,6.930982500531939
2022/01/14,5,19.71700352537985
2022/01/17,2,24.866308708702274
2022/01/18,1,4.348190608580108
2022/01/20,27,4.814541723840075
2022/01/21,26,2.8829077608496205
2022/01/24,23,3.302454631720108
2022/01/25,22,4.995935919271198
2022/01/26,21,2.1708556301857067
2022/02/07,9,0.6532499143803492
2022/02/08,8,0.8526023823340358
2022/02/09,7,23.39592508526693
2022/02/10,6,5.582882040918393
2022/02/11,5,6.459211498466202
2022/02/14,2,6.671819166628007
2022/02/15,1,17.593273628303866
2022/02/17,27,2.2095153991384335
2022/02/18,26,1.075346393486247
2022/02/21,23,0.775920451094113
2022/02/22,22,1.2065957462484709
2022/02/23,21,1.1279054429253792
2022/02/24,20,12.244304052284985
2022/02/25,19,6.008426970602546
2022/03/01,15,1.957698912574424
2022/03/02,14,0.3819089917599869
2022/03/03,13,1.0856584490824366
2022/03/04,12,3.8886562339269926
2022/03/07,9,2.329266483291679
2022/03/08,8,30.476734281719487
2022/03/09,7,0.4391614258721286
2022/03/10,6,1.7939363479851558
2022/03/11,5,0.9627582866315
2022/03/14,2,1.929712807692425
2022/03/15,1,13.89657459211745
2022/03/17,34,8.279229401988829
2022/03/18,33,4.865258283552515
2022/03/21,30,3.0273140283403563
2022/03/22,29,2.444766965907898
2022/03/23,28,4.353389078791086
2022/03/24,27,3.5353359847973715
2022/03/25,26,1.8701917436667463
2022/03/28,23,1.0182656619102826
2022/03/29,22,5.09500114026383
2022/03/30,21,0.8461422813166116
2022/03/31,20,1.360774205834027
2022/04/01,19,2.58366139048118
2022/04/06,14,3.554099523777067
2022/04/07,13,1.579887091160021
2022/04/08,12,0.26382825818264666
2022/04/11,9,0.8440962784231071
2022/04/12,8,2.1386163318701104
2022/04/13,7,1.4264465337320833
2022/04/14,6,12.173320651954699
2022/04/15,5,16.09150290850755
2022/04/18,2,10.181617235923017
2022/04/19,1,11.848068301303723
2022/04/21,27,2.2915702026668314
2022/04/22,26,2.598456283405095
2022/04/25,23,0.5049747303919716
2022/04/26,22,0.5979924301871853
2022/04/27,21,0.7521636070669002
2022/04/28,20,0.9056535319092531
2022/04/29,19,1.1520354351595095
2022/05/03,15,1.174870199793577
2022/05/04,14,1.2518665640654032
2022/05/05,13,6.005512948583108
2022/05/06,12,2.0461670928076456
2022/05/09,9,0.6404280258986672
2022/05/10,8,9.094773856244128
2022/05/11,7,2.499306070282713
2022/05/12,6,6.201322744800274
2022/05/13,5,3.667253025622521
2022/05/16,2,4.734549735974706
2022/05/17,1,37.77935797313761
2022/05/19,27,3.8331159896434883
2022/05/20,26,0.6140183369653454
2022/05/23,23,0.27371562411295436
2022/05/24,22,0.42242485832906296
2022/05/25,21,1.2229251690149978
2022/05/26,20,0.7996021999159401
2022/05/27,19,4.326873884778207
2022/05/30,16,6.947471767212486
2022/05/31,15,0.5731670059460195
2022/06/01,14,8.71342453798634
2022/06/02,13,0.26834035249705307
2022/06/06,9,0.9339792228702162
2022/06/07,8,0.745560466625541
2022/06/08,7,8.822356649521321
2022/06/09,6,27.862647165797412
2022/06/10,5,6.497956539292119
2022/06/13,2,44.60765702068844
2022/06/14,1,4.349209734473892
2022/06/16,34,16.44180135304622
2022/06/17,33,6.603912189992277
2022/06/20,30,2.7204034820376757
2022/06/21,29,3.7202066196771897
2022/06/22,28,5.281376131852705
2022/06/23,27,3.4900604590504556
2022/06/24,26,1.4225149211787211
2022/06/27,23,1.6198512961536708
2022/06/28,22,8.1320590888315
2022/06/29,21,2.18209659427092
2022/06/30,20,3.770672642683775
2022/07/01,19,8.919426594774698
2022/07/04,16,1.5723216671818454
2022/07/05,15,15.776497097308125
2022/07/06,14,16.799792104462778
2022/07/07,13,3.491567870232544
2022/07/08,12,3.5440745241147336
2022/07/11,9,6.753591570719511
2022/07/12,8,23.052318219654392
2022/07/13,7,4.099987279640193
2022/07/14,6,5.7616657086734095
2022/07/15,5,14.385987438516326
2022/07/18,2,25.163074000258327
2022/07/19,1,10.536188145381878
2022/07/21,27,7.466157341407217
2022/07/22,26,11.94884373868659
2022/07/25,23,6.057884823945022
2022/07/26,22,2.6313772013173473
2022/07/27,21,4.8730586375710265
2022/07/28,20,2.4583975186472347
2022/07/29,19,1.9824151270482644
2022/08/01,16,4.353221615342371
2022/08/02,15,12.515694702488236
2022/08/03,14,1.7321271145646677
2022/08/04,13,0.9044938125404354
2022/08/05,12,3.372698794219511
2022/08/08,9,3.27699362595628
2022/08/09,8,0.2329506371624537
2022/08/10,7,2.9803625053078253
2022/08/11,6,22.327543870431807
2022/08/12,5,8.050768301160648
2022/08/15,2,19.55187827089761
2022/08/16,1,37.585153620675605
2022/08/18,34,4.455850732518631
2022/08/19,33,2.0506969450043
2022/08/22,30,4.439567507732029
2022/08/23,29,1.0711868375741322
