交易日期,到期天數,上市天數(交易日),model1
2021/08/06,12,13,0.00024724289513270836
2021/08/09,9,14,0.0003398021498665644
2021/08/10,8,15,0.00018435524736100343
2021/08/11,7,16,0.0005656283661141966
2021/08/12,6,17,0.0006317810818600527
2021/08/13,5,18,0.002179829191494913
2021/08/16,2,19,0.021160927822602805
2021/08/17,1,20,0.043711545439120786
2021/08/19,27,2,0.0001241009164682099
2021/08/20,26,3,0.0008037944945420671
2021/08/23,23,4,0.0017638570145970464
2021/08/24,22,5,5.2698474712837564e-05
2021/08/25,21,6,0.00022114187599485288
2021/08/26,20,7,0.0003360183149907897
2021/08/27,19,8,8.726753744920477e-05
2021/08/30,16,9,0.0003138715841486983
2021/08/31,15,10,0.0008238299517828031
2021/09/01,14,11,0.00046053979819065327
2021/09/02,13,12,0.00037249152011822407
2021/09/03,12,13,0.0008507849641960955
2021/09/06,9,14,0.001284196307456165
2021/09/07,8,15,0.0005190307642892894
2021/09/08,7,16,0.001664733348592796
2021/09/09,6,17,0.004906896391370308
2021/09/10,5,18,0.0018531854691636576
2021/09/13,2,19,0.008846093202926652
2021/09/14,1,20,0.022623444786394272
2021/09/16,34,2,0.0006846189991663527
2021/09/17,33,3,9.45330838645607e-05
2021/09/22,28,4,0.0006301087389649389
2021/09/23,27,5,0.000571152454699446
2021/09/24,26,6,0.00011304376101161201
2021/09/27,23,7,7.27598184784924e-05
2021/09/28,22,8,0.0004801340683099547
2021/09/29,21,9,0.0001537953655631661
2021/09/30,20,10,0.0001580614589205204
2021/10/01,19,11,0.0029122725489274825
2021/10/04,16,12,0.0006895703270309847
2021/10/05,15,13,0.00032871583009848077
2021/10/06,14,14,0.00018119437642606493
2021/10/07,13,15,0.00025772891415024106
2021/10/08,12,16,0.0003282045317750242
2021/10/12,8,17,0.0019826955842915744
2021/10/13,7,18,0.0004295842673638417
2021/10/14,6,19,0.0016070274524751273
2021/10/15,5,20,0.0005744317661650213
2021/10/18,2,21,0.012893362086074816
2021/10/19,1,22,0.016355133578965328
2021/10/21,27,2,0.0016067371453453946
2021/10/22,26,3,0.0004157036659400849
2021/10/25,23,4,0.000313769398257885
2021/10/26,22,5,0.0002089957467482438
2021/10/27,21,6,0.00017258443978594357
2021/10/28,20,7,0.00015385641183103172
2021/10/29,19,8,0.0005816838021928974
2021/11/01,16,9,7.349846493087735e-05
2021/11/02,15,10,0.0003199490731028259
2021/11/03,14,11,9.033324889717253e-05
2021/11/04,13,12,0.00015109883985271568
2021/11/05,12,13,0.0002369747035725875
2021/11/08,9,14,0.0017039011444997406
2021/11/09,8,15,0.00022637975097101716
2021/11/10,7,16,0.0007173964779251955
2021/11/11,6,17,0.0009429806878644107
2021/11/12,5,18,0.0004455367884352054
2021/11/15,2,19,0.0038737168687575513
2021/11/16,1,20,0.032207257803412444
2021/11/18,27,2,0.0008626235930029661
2021/11/19,26,3,9.244191352708539e-05
2021/11/22,23,4,0.00022472385089537442
2021/11/23,22,5,0.0003051646605833741
2021/11/24,21,6,7.677637927330352e-05
2021/11/25,20,7,0.00022671749438561128
2021/11/26,19,8,0.0015109079154958962
2021/11/29,16,9,0.0008420686009422757
2021/11/30,15,10,0.00015340452039639427
2021/12/01,14,11,0.0005166713428025061
2021/12/02,13,12,0.0005130302948011221
2021/12/03,12,13,0.00025251250427077047
2021/12/06,9,14,0.00031726748571232993
2021/12/07,8,15,0.00023600611114979055
2021/12/08,7,16,0.0012097043014007128
2021/12/09,6,17,0.00014360544593175657
2021/12/10,5,18,0.0006970051827150112
2021/12/13,2,19,0.011733438059209777
2021/12/14,1,20,0.02314692815755118
2021/12/16,34,2,0.00033025387157248684
2021/12/17,33,3,0.0001286361298016415
2021/12/20,30,4,0.00046763928098614435
2021/12/21,29,5,0.00016275098056217947
2021/12/22,28,6,0.00021430773594890672
2021/12/23,27,7,0.00010934617094228227
2021/12/24,26,8,0.0002891161284406259
2021/12/27,23,9,0.00013692781839306017
2021/12/28,22,10,0.00020175336972329516
2021/12/29,21,11,0.0002854151392321105
2021/12/30,20,12,0.00018713927767946846
2022/01/03,16,13,3.044197540813602e-05
2022/01/04,15,14,0.0021593414319614327
2022/01/05,14,15,0.0006248625347303577
2022/01/06,13,16,0.002223147240739046
2022/01/07,12,17,0.0006494630625054126
2022/01/10,9,18,0.0005870928653837334
2022/01/11,8,19,0.0010253765260839545
2022/01/12,7,20,0.0026309594389492827
2022/01/13,6,21,0.0009532188947367409
2022/01/14,5,22,0.005572964746471631
