交易日期,到期天數,上市天數(交易日),model1
2021/08/12,6,17,0.03987971260233765
2021/08/13,5,18,0.05776670701980487
2021/08/16,2,19,0.05765934876076819
2021/08/17,1,20,0.20968008379223443
2021/08/19,27,2,0.04108827711621062
2021/08/20,26,3,0.10413127951489455
2021/08/23,23,4,0.061494983356993264
2021/08/24,22,5,0.04849520523814483
2021/08/25,21,6,0.1149575589029819
2021/08/26,20,7,0.06287044577228353
2021/08/27,19,8,0.050221912657678995
2021/08/30,16,9,0.0034148124591418492
2021/08/31,15,10,0.05080956838981362
2021/09/01,14,11,0.015049874781968526
2021/09/02,13,12,0.01368783686114382
2021/09/03,12,13,0.06778032547110566
2021/09/06,9,14,0.032752940950381344
2021/09/07,8,15,0.0241860809112332
2021/09/08,7,16,0.10986599597476861
2021/09/09,6,17,0.06109688505675533
2021/09/10,5,18,0.0439905357398546
2021/09/13,2,19,0.029374383683629945
2021/09/14,1,20,0.1507437445975831
2021/09/16,34,2,0.03849613591306877
2021/09/17,33,3,0.08618811640307746
2021/09/22,28,4,0.09240178095044273
2021/09/23,27,5,0.11436559347985689
2021/09/24,26,6,0.012981910147888921
2021/09/27,23,7,0.09707640511677243
2021/09/28,22,8,0.04476593755922148
2021/09/29,21,9,0.06460205250711215
2021/09/30,20,10,0.10972364798045847
2021/10/01,19,11,0.10388206447554796
2021/10/04,16,12,0.1593279772710942
2021/10/05,15,13,0.19863048503388483
2021/10/06,14,14,0.17672028174861149
2021/10/07,13,15,0.16098449650684865
2021/10/08,12,16,0.10730216343282993
2021/10/12,8,17,0.2022132899267407
2021/10/13,7,18,0.03604445838875176
2021/10/14,6,19,0.04451058094388316
2021/10/15,5,20,0.04521481741513546
2021/10/18,2,21,0.06562547956783668
2021/10/19,1,22,0.12723958130354696
2021/10/21,27,2,0.011556271498799401
2021/10/22,26,3,0.013001267290167947
2021/10/25,23,4,0.0020594910894379107
2021/10/26,22,5,0.01815833179660163
2021/10/27,21,6,0.02968196658446185
2021/10/28,20,7,0.03833308198046832
2021/10/29,19,8,0.06948694682704551
2021/11/01,16,9,0.029919993729571846
2021/11/02,15,10,0.07423960077843089
2021/11/03,14,11,0.020386531193241055
2021/11/04,13,12,0.06989893520985356
2021/11/05,12,13,0.027060945219410545
2021/11/08,9,14,0.027937888920996978
2021/11/09,8,15,0.006031937121016363
2021/11/10,7,16,0.006230037783444787
2021/11/11,6,17,0.017593811085999726
2021/11/12,5,18,0.0061824317958842625
2021/11/15,2,19,0.01697585943480314
2021/11/16,1,20,0.07356543062889738
2021/11/18,27,2,0.014989251676912835
2021/11/19,26,3,0.01359951707434652
2021/11/22,23,4,0.016527985771282398
2021/11/23,22,5,0.02020702504429011
2021/11/24,21,6,0.02356570051385003
